#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:58:47 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:58:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=V/28/adjarea&-order=I&-out=ID&-out=X&-out=Y&-out=V&-out=B-V&-out=U-B&-out=pmX&-out=pmY&-out=Cl_mem&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5028
#Name: V/28
#Title: Proper Motions, UBV Photometry, Four Open Clusters (Frolov 1980)
#INFO	ivoid=ivo://cds.vizier/v/28	    IVOID of underlying data collection
#INFO	creator=Frolov V.N.	    First author or institution
#INFO	cites=bibcode:1977IzPul.195...80F	    Article or Data origin sources
#INFO	original_date=1977	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/28	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_28_adjarea:
#Name: V/28/adjarea
#Title: Photometry and Proper Motions Data
#Column	ID	(I4)	Star Number	[ucd=meta.id;meta.main]
#Column	X	(F6.2)	X-Coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Y	(F6.2)	Y-Coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	V	(F5.2)	*? V Magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	? U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	pmX	(I4)	X-annual proper motion	[ucd=pos.pm]
#Column	pmY	(I5)	Y-annual proper motion	[ucd=pos.pm]
#Column	Cl_mem	(I4)	*Cluster Membership	[ucd=meta.code.member]
ID;X;Y;V;B-V;U-B;pmX;pmY;Cl_mem
1059;-13.73;  5.71;14.38; 0.83; 0.26;  29;   48;   0
1060;-13.25;  3.44;13.43; 1.03;     ; -20;   72;   0
1061;-12.44;  4.26;14.33; 0.59; 0.43; -34;   36;   0
1062;-12.36;  4.75;13.42; 0.79; 0.63;  -4;   44;   0
1063;-12.38;  5.41;15.06; 1.13;     ;  12;   82;   0
1064;-11.46;  5.04;12.41; 0.47; 0.02;   1;   54;   0
1065;-10.55;  5.14;12.90; 0.57;-0.03; -25;    7;   0
1066;-10.71;  3.80;14.14; 0.89;     ; -18;    5;   0
1067;-10.20;  3.57;14.16; 1.54;     ; 474;  -24;   0
1068; -9.19;  4.34;12.82; 0.64; 0.55;  -2;   66;   0
1069; -8.58;  5.37;15.13; 0.60;     ; -29;   26;   0
1070; -7.80;  1.39; 8.84; 0.55;     ; -62;   16;   0
1071; -5.95;  1.26;12.84; 1.38; 1.05;  11;   46;   0
1072; -5.87;  1.60;14.57; 0.77; 0.24;  30;   -2;   0
1073; -4.65;  1.04;12.21; 0.38; 0.43; -32;   43;   0
1074; -3.87;  1.62;13.35; 0.90; 0.31; -36;    8;   0
1075; -3.50;  2.08;15.30; 0.80;     ; -26;   16;   0
1076; -3.77;  2.42;13.39; 0.86;     ;  -5;  103;   0
1077; -8.02;  3.42;14.06; 1.97;     ;  11;  -20;   0
1078; -7.96;  4.22;14.26; 1.85;     ;  -7;   66;   0
1079; -8.27;  4.85;15.46; 0.91;     ;  16;   60;   0
1080; -7.77;  5.02;15.44; 0.61;     ; -41;   80;   0
1081; -7.30;  5.16;14.80; 0.54;-0.26;  73;  -17;   0
1082; -7.27;  4.96;11.48; 0.36; 0.13; -79;   22;   0
1083; -7.03;  5.01;14.77; 0.79;     ; -25;   18;   0
1084; -6.19;  4.42;14.87; 0.96;     ;  75;  112;   0
1085; -6.15;  4.80;14.97; 0.86;     ;  -2;   78;   0
1086; -3.83;  3.44;15.79; 0.62;     ;  20;   23;   0
1087; -4.71;  4.17;15.67; 0.60;     ; -65;   22;   0
1088; -4.51;  5.17;14.12; 1.17; 0.12;  -4;   90;   0
1089; -3.26;  1.64;14.33; 0.95;     ;  90;   10;   0
1090; -2.43;  1.38;12.86; 1.14; 0.47; 210;  -35;   0
1091; -1.11;  1.74;12.70; 0.36;-0.06;  -9;   31;   0
1092;  1.46;  1.73;15.33; 0.49;     ; -54;   43;   0
1093; -0.11;  2.78;15.80; 0.53;     ;  -7;   -4;   0
1094; -3.04;  3.88;13.90; 0.56;     ;-108;   15;   0
1095; -1.81;  3.46;12.68; 0.97; 0.47;  79;  131;   0
1096; -1.18;  4.49;14.17; 0.85; 0.03;  -6;   -3;   0
1097; -0.43;  4.00;14.36; 0.55;-0.02;  17;  -23;   0
1098; -0.14;  4.46;15.72; 0.56;     ; -67;    6;   0
1099;  1.32;  4.23;14.12; 1.13;     ;  -8;   80;   0
1100; -1.81;  5.65;11.57; 0.29; 0.23; -50;  -34;7788
1101; -0.98;  4.94;15.02; 0.83;     ; -63;   66;   0
1102;  0.86;  4.87;14.25; 0.93;-0.04;   2;   28;   0
1103;  1.30;  6.03;13.85; 0.50;     ;   6;  -36;   0
1104;  2.07;  1.15;14.26; 0.47;     ;  19;   25;   0
1105;  2.04;  1.25;14.97; 0.87;     ; -72;  -10;   0
1106;  1.77;  2.45;13.29; 0.66; 0.17;   3;    5;   0
1107;  2.13;  2.16;14.16; 0.65; 0.13; -26;    6;   0
1108;  2.76;  1.69;13.97; 0.46;-0.17; -72;   17;   0
1109;  2.78;  2.06;13.32; 0.67; 0.32;  47;   10;   0
1110;  3.09;  1.85;13.92; 0.58;     ; -17;   55;   0
1111;  4.81;  1.63;13.62; 0.96; 0.22;   3;   15;   0
1112;  2.96;  3.07;14.91; 0.51; 0.13;  32;   58;   0
1113;  4.87;  3.05;13.54; 0.61; 0.29;   7;   10;   0
1114;  5.70;  2.92;15.59; 0.46;     ;   8;  -33;   0
1115;  3.05;  3.83;15.45; 0.64;     ;  36;   42;   0
1116;  1.82;  4.73; 8.88; 9.99;     ; -66;   36;   0
1117;  1.99;  4.88;12.39; 0.38;     ;  87;   22;   0
1118;  2.74;  4.95;14.41; 0.70; 0.12; -22;   48;   0
1119;  2.35;  5.86;14.87; 0.70; 0.37;  84;    8;   0
1120;  3.62;  4.87;14.98; 0.38; 0.17; -34;   44;7788
1121;  3.95;  4.47;14.10; 0.95;-0.07;  -4;   23;   0
1122;  3.61;  5.73;15.29; 0.35;-0.15; -18;   86;   0
1123;  3.82;  5.34;14.14; 0.28;-0.02; -43;   53;7788
1124;  4.18;  5.36;12.18; 0.77; 0.29; -57; -173;   0
1125;  4.32;  5.60;14.04; 0.41;-0.18; -37;   25;7788
1126;  5.10;  5.43;12.18; 0.53; 0.25; -10;    0;7788
1127;  5.30;  5.63;13.84; 0.88; 0.49; 187;   26;   0
1128;  5.81;  5.84;13.51; 0.47; 0.25; -17;  102;   0
1129;  5.99;  5.04;14.40; 1.00;     ;  26; -102;   0
1130;  6.88;  2.69;15.25; 0.37;     ; -20;   36;7790
1131;  7.61;  2.36;13.47; 1.36; 0.82; 361;   29;   0
1132;  7.70;  1.94;15.36; 0.46;-0.48;   2;   88;   0
1133;  7.78;  1.94;15.10; 0.65;     ; -13;   47;7790
1134;  8.68;  2.55;13.45; 0.40; 0.33; -42;  -19;7790
1135;  9.69;  1.50;15.61; 0.60;     ; -75;  -75;   0
1136;  9.75;  2.51;15.17; 0.67;-0.30;  36;   90;7790
1137;  9.78;  3.41;14.09; 0.37;-0.07; -46;   59;7790
1138; 10.06;  3.09;11.61; 0.59; 0.32; -70;   -9;   0
1139; 10.26;  3.32;14.63; 0.90;-0.14; -62;  -26;   0
1140; 10.41;  1.79;15.41; 0.78;-0.31; -62;   56;7790
1141; 11.03;  1.67;15.42; 0.73;     ;  30;   90;7790
1142; 11.50;  2.62;14.63; 0.41; 0.06;  96;   51;   0
1143; 10.80;  3.58;15.08; 0.65;     ;  45;   -2;7790
1144; 11.09;  3.53;14.24; 0.61; 0.23;   6;   20;7790
1145;  7.15;  3.60;15.09; 0.41; 0.04; -36;    8;7790
1146;  6.83;  4.21;14.65; 0.63; 0.02;  -6;   46;7790
1147;  6.79;  4.46;12.29; 0.63; 0.39;  50;   35;7790
1148;  7.82;  3.71;15.10; 0.86;     ; -24;   74;   0
1149;  9.00;  4.19;15.35; 0.41;     ; -76;   42;   0
1150;  9.81;  4.52;14.97; 0.41;-0.04;  40;   94;7790
1151;  9.64;  4.75;15.23; 0.74;-0.14;  -4;   33;7790
1152;  9.93;  4.94;13.63; 0.47; 0.35;  30;   43;7790
1153;  6.79;  6.04;11.59; 0.31; 0.22;  22;  -21;   0
1154;  7.23;  6.14;14.59; 0.71; 0.12;  10;   -4;   0
1155;  8.16;  5.83;14.94; 0.89;     ; -27;   -8;   0
1156;  8.95;  5.28;15.55; 0.61;     ; -48;  -59;   0
1157;  9.86;  5.67;13.00; 0.83; 0.20; 109;   90;   0
1158; 10.78;  5.33;15.56; 0.57;     ; -24;   74;   0
1159; 10.81;  5.73;15.01; 0.68;     ;  32;   34;   0
1160; 12.30;  1.57;15.50; 0.53;     ; -30;  -18;7790
1161; 12.24;  2.19;13.49; 1.11; 0.12;   2;   14;   0
1162; 12.72;  1.93;13.34; 0.79; 0.61;  13;   58;   0
1163; 12.86;  1.45;14.88; 0.80;-0.14; -18;  146;   0
1164; 12.99;  1.97;15.24; 0.86;-0.42;  36;  118;   0
1165; 14.93;  1.83;14.54; 1.50;     ; -42;   10;   0
1166; 15.02;  2.23;15.78; 0.42;     ;  84;  -40;   0
1167; 13.89;  2.68;15.10; 0.90;-0.18; -17;  -14;7790
1168; 12.58;  3.58;14.98; 0.66;-0.21;  42;   -3;7790
1169; 12.70;  3.49;14.96; 0.54;-0.24;  35;    1;7790
1170; 13.59;  3.98;14.31; 1.72;     ; -66;  -68;   0
1171; 14.35;  3.55;12.84; 1.43; 1.00;  44;   34;   0
1172; 12.76;  5.63;10.90; 0.59;     ;-111;  143;   0
1173; 12.84;  5.51;14.10; 0.18;     ; -26;   40;   0
1174; 17.25;  2.07;15.46; 0.75;     ; -33;  104;   0
1175; 17.69;  2.20;13.54; 0.52; 0.32;  53;   18;   0
1176; 21.28;  1.76;11.04; 0.76; 0.41;  37;   55;   0
1177; 21.57;  2.83;14.01; 0.51; 0.22; -12;   51;   0
1178; 16.58;  2.53;13.52; 1.62;     ;  78;60074;   0
1179; 19.96;  3.19;13.36; 0.93; 0.33;  88;   22;   0
1180; 16.69;  4.41;12.64; 1.53;     ;  51;  -21;   0
1181; 17.17;  3.82;15.02; 1.00;     ;  48;   94;   0
1182; 17.33;  3.65;14.47; 1.53;     ;   2;  -36;   0
1183; 17.64;  4.66;14.58; 0.70;-0.06;  44;   38;   0
1184; 17.88;  4.27;14.78; 0.37;-0.09;  47;   16;   0
1185; 18.47;  3.92;15.16; 0.90;     ;   8;   19;   0
1186; 19.28;  3.83;14.89; 0.75;     ;  58;   30;   0
1187; 16.85;  6.17;12.53; 0.59; 0.21;  97;   -9;   0
1188; 17.06;  6.12;14.94; 0.45;     ;  12;   52;   0
1189; 17.68;  5.56;14.58; 0.18; 0.26;  -1;   66;   0
1190; 17.76;  5.49;13.72; 0.69;     ; -13;   60;   0
1191; 18.23;  5.48;12.96; 2.36;     ; -27;  -23;   0
1192; 18.76;  6.02;14.52; 0.51;-0.01; 130;   10;   0
1193; 19.08;  6.36;12.49; 1.55; 1.02;   8;  103;   0
1194; 19.28;  6.24;14.74; 0.69;     ;  33;    1;   0
1195; 19.24;  6.08;14.33; 1.73;     ;  24;   40;   0
1196; 20.45;  6.19;14.62; 0.89;     ;  59;   55;   0
1197; 21.02;  4.89;15.35; 0.61;     ;  44;   86;   0
1198; 21.81;  1.71;10.91; 0.83; 0.76;  25; -286;   0
1199; 23.37;  2.18;13.44; 0.61; 0.06;  20;   14;   0
1200; 23.62;  2.27;12.34; 0.40; 0.04;  -2;   17;   0
1201; 24.53;  2.07;11.78; 2.14;     ; 126;  -26;   0
1202; 25.48;  1.88;14.10; 0.45; 0.16;   7;   -9;   0
1203; 25.92;  1.76;14.12; 1.16; 0.27; -12;   78;   0
1204; 22.68;  3.71;15.06; 0.65;     ;  17;   44;   0
1205; 22.94;  3.71;14.49; 0.70;     ;  12;    4;   0
1206; 23.14;  2.92;14.54; 0.97; 0.00;  51;  102;   0
1207; 23.28;  3.31;13.99; 0.89; 0.26; -16;    3;   0
1208; 25.39;  2.83;14.43; 1.03; 0.02; -52;  -14;   0
1209; 25.09;  3.19;15.35; 0.61;     ;  52;   21;   0
1210; 25.38;  3.91;11.74; 0.61;     ; -53;   99;   0
1211; 25.44;  3.85;13.25; 0.40;     ; -55;  -12;   0
1212; 26.47;  4.42;10.27; 1.96;     ;   1;    6;   0
1213; 23.68;  4.39;15.20; 0.85;     ; -24;   29;   0
1214; 23.96;  5.00;14.53; 1.08;     ; -22;   72;   0
1215; 24.47;  4.22;14.67; 1.08;-0.28; -38;   16;   0
1216; 24.95;  4.32;15.45; 0.60;     ; -84;   64;   0
1217; 22.86;  5.98;13.42; 0.87; 0.24;  67;   39;   0
1218; 24.93;  6.05;14.65; 0.58;     ; -81;   49;   0
1219; 25.65;  6.06;14.89; 0.49;     ;  52;  -28;   0
1220; 26.90;  3.01;14.94; 0.97;     ; -34;   12;   0
1221; 27.72;  2.92;13.69; 0.84; 0.19; -50;   28;   0
1222; 29.33;  2.37;14.59; 0.73;     ;-106;   13;   0
1223; 31.26;  3.26;     ;     ;     ; -40;   -7;   0
1224; 31.22;  4.13;     ;     ;     ; -68;    6;   0
1225; 26.80;  4.18;13.12; 1.58;     ; -65;   38;   0
1226; 28.66;  4.38;14.77; 0.92;-0.13;  22;   66;   0
1227; 29.96;  4.63;14.39; 0.94; 0.30;-234;  -85;   0
1228; 27.44;  6.12;14.48; 1.17;     ;-264;    9;   0
1229; 27.84;  6.09;14.53; 0.91;     ;  10;   42;   0
1230; 28.71;  5.52;14.87; 0.85;     ;  32;   17;   0
1231;-27.71;  5.60;     ;     ;     ;  52;   65;   0
1232;-26.11;  5.63;14.95; 0.85;     ;  16;   71;   0
1233;-26.94;  6.14;15.08; 1.06;     ;  -6;   54;   0
1234;-26.83;  6.54;12.69; 2.81;     ; 196;  -45;   0
1235;-28.15;  7.08;     ;     ;     ; 124;   30;   0
1236;-27.62;  8.28;     ;     ;     ;  48;   -4;  90
1237;-25.30;  8.72;12.26; 0.85; 0.06;  96;   71;   0
1238;-25.98;  9.40;14.56; 1.24;-0.18;  22;    4;   0
1239;-24.35;  9.56;10.31; 0.94; 0.37; -73;  127;   0
1240;-21.58;  6.39;13.12; 1.18; 0.43;  61;  -48;   0
1241;-19.98;  6.11;13.82; 0.77;-0.05;  18;   38;   0
1242;-18.78;  7.24;15.19; 0.98;     ; -28;   88;   0
1243;-22.69;  9.75;12.26; 0.92; 0.26;  34;   94;   0
1244;-21.50; 10.18;14.73; 1.16;-0.16;  30;   34;   0
1245;-19.94;  9.92;15.34; 0.69;     ;  -1;   29;   0
1246;-17.70;  6.89;15.20; 0.82;     ; -26;  108;   0
1247;-17.54;  6.69;12.96; 0.94; 0.24;-161;  -16;   0
1248;-17.24;  6.75;14.48; 1.68;     ;  36;  177;   0
1249;-16.93;  6.88;15.40; 0.78;     ; -34;  -78;   0
1250;-16.38;  5.94;14.26; 1.13;     ;  24;   56;   0
1251;-15.85;  6.41;11.86; 0.53;-0.06; -64;   18;   0
1252;-15.96;  7.37;12.68; 1.08; 0.36;  83;  -18;   0
1253;-14.59;  7.02;11.52; 3.17; 0.84; 163;   54;   0
1254;-13.66;  6.43;12.50; 1.34; 0.90; -24;   40;   0
1255;-17.76;  8.10;13.51; 1.91;     ;  32;    4;   0
1256;-17.62;  9.12;13.74; 1.33; 0.21;  57;   71;   0
1257;-16.93;  8.60;12.18; 0.56;-0.06;  -4;    6;   0
1258;-15.39;  8.06;14.40; 1.18;     ;  47;  -41;   0
1259;-14.30;  8.42;14.53; 0.87; 0.09;  14;   89;   0
1260;-14.06; 10.30;14.86; 0.71; 0.04;  10;    2;   0
1261;-12.60;  6.28;14.60; 0.72; 0.19;  -4;   51;   0
1262;-12.24;  6.31;15.66; 0.63;     ; -90;   50;   0
1263;-12.51;  7.98;14.88; 1.00;-0.27;-215;   46;   0
1264;-10.87;  8.19;14.44; 0.93;     ;  29;   46;   0
1265;-11.00;  8.41;15.75; 0.43;     ; -48;   79;   0
1266; -9.91;  8.69;13.55; 0.82;     ;  -3;   92;   0
1267; -9.05;  8.74;13.62; 0.62;-0.20; -67;   46;   0
1268;-11.92; 10.45;11.96; 1.66; 1.31; -28;  -28;   0
1269;-10.95; 10.01;13.22; 2.35;     ;  23;   84;   0
1270;-10.56; 10.84;13.79; 0.82; 0.47; -56;   47;   0
1271;-10.34;  9.58;15.17; 0.94;     ;  10;   94;   0
1272; -8.21;  6.28;12.71; 1.42;     ;  50;   59;   0
1273; -6.88;  6.24;12.38; 0.63; 0.29;  19;   16;   0
1274; -7.56;  7.14;12.42; 0.42;-0.15; -64;  -46;   0
1275; -4.93;  7.73;15.56; 0.52;     ; -44;  -50;   0
1276; -5.87;  8.68;13.65; 0.65; 0.45; -30;   48;   0
1277; -5.56;  8.53;12.88; 0.46;     ; -84;   30;   0
1278; -8.22;  9.73;14.56; 1.16;     ; -18;  136;   0
1279; -7.98; 10.67;15.54; 0.63;     ; -68;   27;   0
1280; -4.98;  9.07;13.90; 2.27;     ; -98;  -60;   0
1281; -5.16;  9.47;14.50; 1.65;     ;-198;  -23;   0
1282; -4.66;  9.51;15.09; 0.47;-0.04;   5;   32;7788
1283; -4.08;  9.41;13.16; 2.22;     ;   0;   53;   0
1284; -4.48;  9.88;14.72; 0.63;     ;   0;    4;   0
1285; -4.39; 10.03;15.01; 0.57; 0.30; -46;    6;   0
1286; -3.07;  6.50; 9.93; 0.78; 0.11; 437;  215;   0
1287; -2.82;  7.08;13.90; 0.44;-0.26; -60;   47;7788
1288; -2.40;  7.22;15.43; 0.41;-0.12;  -8;   50;   0
1289; -1.66;  6.31;14.73; 0.85;     ;  -2;   41;   0
1290; -1.63;  6.15;14.38; 0.92;-0.06;  46;   78;   0
1291; -1.40;  6.24;15.38; 0.63;-0.33; -54;    3;   0
1292; -0.55;  6.78;15.24; 0.46;-0.24;  55;   74;   0
1293; -0.31;  6.73;13.87; 1.90;     ; -28;  228;   0
1294; -0.26;  6.98;11.89; 0.27;-0.16;   6;  -36;7788
1295; -0.45;  7.48;15.42; 0.83;     ;  33;  -12;   0
1296; -0.06;  7.65;14.94; 0.69;     ;  62;   50;   0
1297;  0.64;  7.34;15.42; 0.51;     ; -52;   68;7788
1298;  1.15;  7.50;     ;     ;     ; -52;   16;   0
1299;  1.39;  7.70;13.67; 1.28;-0.03;  47;    4;   0
1300;  1.49;  6.98;15.05; 0.50;     ;  -2;  108;7788
1301;  0.79;  6.70;15.55; 0.71;-0.32;  63;  154;   0
1302;  1.08;  6.18;13.90; 0.39;-0.34; -26;   41;7788
1303;  1.22;  6.21;14.19; 0.88;     ; -54;  -22;   0
1304; -2.68;  7.94;14.01; 1.96;     ;  34;  128;   0
1305; -2.48;  8.23;15.37; 0.57;     ; -32;   84;   0
1306; -2.59;  8.44;14.76; 0.39; 0.07; -31;   29;7788
1307; -3.17;  8.93;14.67; 0.97;-0.18; 176;   57;   0
1308; -2.25;  9.07;15.72; 0.54;-0.50; -35;  -25;   0
1309; -1.96;  8.65;14.27; 1.53;-0.05;  -6;   89;   0
1310; -1.45;  8.01; 9.73; 9.99;     ;  66;   70;   0
1311;  0.09;  8.18;14.79; 0.54;     ; -15;   29;   0
1312;  0.12;  8.64;14.73; 0.38; 0.15;  -1;   45;7788
1313;  0.99;  8.01;14.71; 0.52;     ; -21;   -9;   0
1314;  1.05;  8.49;14.71; 1.32;     ; -62; -106;   0
1315; -3.39; 10.88;15.52; 0.56;     ; -44;   24;7788
1316; -3.24; 10.79;15.21; 0.58;-0.05; -10;   53;7788
1317; -3.14; 10.44;15.02; 0.77;     ; -10;   16;   0
1318; -3.07; 10.35;15.34; 0.63;     ; -89;   66;   0
1319; -3.24; 10.15;13.86; 0.72; 0.20;   3;   83;   0
1320; -3.37;  9.79;15.10; 0.87;-0.15; 174;   54;   0
1321; -2.75; 10.28;14.75; 0.45; 0.15;  25;   94;7788
1322; -2.65; 10.18;15.73; 0.51;     ;  18;   98;7788
1323; -2.59;  9.88;14.49; 1.67;-0.25;  46;  107;   0
1324; -2.39; 10.44;15.44; 0.47;-0.29; -46;  106;   0
1325; -2.14; 10.94;15.50; 0.40;     ; -56;   39;7788
1326; -2.06;  9.42;15.75; 0.47;     ; -13;  -76;   0
1327; -1.79;  9.05;13.47; 0.36;-0.14; -18;   52;7788
1328; -1.62;  8.92;14.50; 0.39;-0.19; -26;  -15;7788
1329; -1.48;  8.80;14.42; 0.34;-0.05; -58;    7;7788
1330; -0.90;  9.05;14.62; 0.90; 0.10; -11;   24;   0
1331; -0.50;  9.19;14.77; 0.34;-0.32;  66;   40;   0
1332; -0.44;  9.23;15.59; 0.32;     ;  75;  -14;   0
1333; -0.38;  9.34;14.15; 0.52;-0.09; -24;   -2;7788
1334; -0.31;  9.26;15.53; 0.51;     ; -72;   92;7788
1335;  1.11;  8.99;15.13; 0.35; 0.03; -14;   35;7788
1336; -1.55;  9.37;15.27; 0.48;     ; -39;   85;7788
1337; -1.55;  9.86;15.20; 0.43;     ; -51;   -6;7788
1338; -1.38;  9.50;14.43; 0.23;     ;  -3;    8;   0
1339; -1.20;  9.56;11.58; 0.29;     ;   7;   -1;7788
1340; -1.14;  9.67;14.98; 9.99;     ;  50;   49;   0
1341; -0.97;  9.48;15.57; 0.36;     ; -52;  108;   0
1342; -0.87;  9.86;12.88; 0.26;-0.25; -62;   46;7788
1343; -0.63;  9.97;14.16; 0.79;     ; -71;  -69;   0
1344; -0.34; 10.11;15.06; 0.41;     ;  -2;   42;7788
1345; -0.05; 10.33;14.68; 1.14;     ;  83;   24;   0
1346; -0.24;  9.83;13.83; 0.38;-0.14; -71;    8;7788
1347; -0.39;  9.64;15.03; 0.42;-0.29; -59;   22;   0
1348;  0.34;  9.80;11.74; 0.24;-0.18;  15;   -7;7788
1349;  0.88;  9.74;14.46; 0.38;-0.08;   4;   60;7788
1350;  0.57; 10.22;14.24; 0.60; 0.20;  26;   24;   0
1351; -1.44; 10.12; 9.39; 0.29;     ; -61;   38;   0
1352; -1.59; 10.47;12.60; 0.34;-0.59; -36;   27;7788
1353; -1.40; 10.52;15.01; 0.86;     ; -14;  102;   0
1354; -1.40; 10.35;15.04; 9.99;     ; -34;  191;   0
1355; -1.18; 10.49;12.30; 0.24;-0.82; -11;   49;   0
1356; -1.13; 10.27;12.74; 0.35;     ;  19;   21;7788
1357; -1.11; 10.07;15.04; 0.41;-1.48;  52;   64;   0
1358; -0.85; 10.67;13.16; 0.35;-0.28; -32;   52;7788
1359; -0.76; 10.39;13.95; 0.37;-0.28; -18;   69;7788
1360; -0.52; 10.46;13.32; 0.37;-0.17; -44;   28;7788
1361; -0.60; 10.99;15.62; 0.46;     ; -18;  -22;7788
1362;  2.13;  6.24;11.78; 1.29; 1.07; 205;  -47;   0
1363;  4.16;  6.23;12.84; 0.50; 0.30;  16;  -39;   0
1364;  6.39;  6.26;14.52; 0.51;     ;  13;   14;   0
1365;  2.25;  7.15;14.15; 0.42;-0.14;  28;  -20;7788
1366;  2.58;  7.69;13.86; 0.57; 0.32;  95;   40;   0
1367;  6.33;  7.22;12.62; 0.53; 0.26;  66;   59;   0
1368;  1.57;  7.78;14.51; 0.54; 0.27;  58;   66;   0
1369;  3.12;  9.16;14.48; 0.38;-0.13; -55;   33;7788
1370;  3.46;  9.38;14.44; 9.99; 0.00; -47;   86;7788
1371;  2.64;  9.57;11.16; 0.26;-0.20; -64;    8;7788
1372;  2.99;  9.47;12.54; 0.39; 0.03;  -7;   -5;7788
1373;  3.66;  8.38;14.05; 1.46;     ; -34;  -11;   0
1374;  4.14;  8.35;14.98; 0.53; 0.17; -19;  -14;7788
1375;  4.39;  9.32;15.30; 0.04; 0.44;  84;   81;   0
1376;  4.44;  9.15; 9.12; 2.08; 2.05;  16;  -80;   0
1377;  4.52;  9.05;14.22; 1.56;-0.12;1195; -651;   0
1378;  4.60;  9.30;15.49; 0.17;     ;  18;   44;   0
1379;  5.03;  8.76;10.54; 0.39;-0.49; -33;   34;7788
1380;  6.40;  8.48;14.27; 0.47; 0.26;  10;   -5;   0
1381;  5.92; 10.04;13.56; 0.84; 0.38;  90;    4;   0
1382;  6.30; 10.12;11.31; 1.64; 1.67;  13;   43;   0
1383;  6.24; 10.54;13.11; 1.30;     ;  24;   94;   0
1384;  6.20; 10.60;13.89; 0.71;     ;  49;  -63;   0
1385;  6.64;  6.36;15.23; 0.56;     ;  12;   48;   0
1386;  7.13;  6.72;15.36; 0.69;     ;  12;  116;   0
1387;  7.54;  6.39;13.87; 0.79; 0.16;  99;    7;   0
1388;  9.60;  6.69;15.18; 0.66;     ;  21;   58;   0
1389;  9.72;  6.82;15.37; 0.40;     ;  46;   41;   0
1390; 11.22;  7.10;14.62; 0.50; 0.16;  20;   22;   0
1391;  6.98;  8.37;15.34; 0.53;     ;  21;   37;   0
1392;  8.00;  7.89;15.07; 0.25;     ;  -4;  134;   0
1393;  8.17;  7.99;12.34; 1.27;     ; -46;  -23;   0
1394;  9.40;  8.13;12.56; 0.36; 0.59;   3;   -3;   0
1395; 10.88;  8.02;12.88; 1.70;     ; 213;   35;   0
1396; 11.36;  8.54;12.79; 0.40;     ;  25;  -13;   0
1397;  6.72; 10.65;14.69; 0.35;     ; -10;   -2;   0
1398;  7.10; 10.91;15.16; 0.37;     ;  -5;   18;   0
1399;  7.16; 10.10;14.36; 0.38; 0.04;  -3;  -47;   0
1400;  7.76; 10.87;15.52; 0.19;     ; -44;  112;   0
1401;  8.32; 10.97;15.57; 0.42;     ; -29;   24;   0
1402;  8.45;  9.41;13.36; 0.78;-0.08;-101; -170;   0
1403;  8.32;  8.92;14.49; 1.58;     ;-133;   51;   0
1404;  9.04; 10.02;14.19; 0.58; 0.35;  71;    9;   0
1405;  8.94; 10.91;16.08; 0.50;     ; -63;   35;   0
1406;  9.43; 10.73;13.10; 0.50; 0.29; -22;   10;   0
1407;  9.49;  9.09;14.49; 1.38;     ;   3;   50;   0
1408;  9.68;  9.88;14.57; 0.89;-0.01; 116;   44;   0
1409; 10.15;  8.82;14.94; 0.30;     ;  -7;  -46;   0
1410; 10.36;  9.53;15.41; 0.39;     ; -92;   46;   0
1411; 10.39;  9.60;13.75; 0.81;-0.34; -89;   84;   0
1412; 10.62; 10.11;13.73; 1.02;     ;  -5;  -79;   0
1413; 11.39;  9.58;12.95; 1.28; 0.83; -44;   15;   0
1414; 12.09;  6.42;12.66; 0.35; 0.38;  57;   -3;   0
1415; 13.74;  6.56;10.59; 1.12; 1.24;  54;   17;   0
1416; 14.88;  7.65;14.34; 0.87;     ;  56;  121;   0
1417; 11.47;  8.46;14.07; 1.52;     ; -79;  140;   0
1418; 12.05;  8.96;14.48; 0.77;     ;  -9;  125;   0
1419; 12.28;  8.77;11.33; 1.24; 0.97;  89;  -13;   0
1420; 12.46;  9.52;13.70; 0.36; 0.29;  29;   31;   0
1421; 13.32;  9.80;15.00; 0.84;     ;  27;  -18;   0
1422; 13.75;  9.70;15.29; 0.48;     ;  30;  110;   0
