#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T04:32:53 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T04:32:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/203/catalog&-order=I&-out=SeqNo&-out=IDs&-out=pmX&-out=pmY&-out=e_pm&-out=Pr&-out=V&-out=B-V&-out=U-B&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1203
#Name: I/203
#Title: Proper Motions, UBV-Phot. & Spectral Class Region 7092 (Platais 1994)
#INFO	ivoid=ivo://cds.vizier/i/203	    IVOID of underlying data collection
#INFO	creator=Platais I.	    First author or institution
#INFO	cites=bibcode:1994BICDS..44....9P	    Article or Data origin sources
#INFO	original_date=1994	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/203	    Dataset landing page
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_203_catalog:
#Name: I/203/catalog
#Title: The Catalogue in the region of NGC 7092
#Column	SeqNo	(I4)	[1/7931]+ Sequential number of the star.	[ucd=meta.id;meta.main]
#Column	IDs	(A1)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	pmX	(F6.1)	Relative proper motions in X (2)	[ucd=pos.pm]
#Column	pmY	(F6.1)	Relative proper motions in Y (2)	[ucd=pos.pm]
#Column	e_pm	(F4.1)	Mean standard error of proper motions (6)	[ucd=stat.error]
#Column	Pr	(I3)	Calculated membership probabilities (7)	[ucd=stat.fit.goodness]
#Column	V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	RAJ2000	(A11)	Right Ascension (hours), Equinox=J2000 and Epoch=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (degrees)	[ucd=pos.eq.dec;meta.main]
SeqNo;IDs;pmX;pmY;e_pm;Pr;V;B-V;U-B;RAJ2000;DEJ2000
6548; ;  -0.4;   0.2; 4.4;  0;14.09; 0.28; 0.28;21 34 55.83;+49 15 46.6
6549; ;  -0.7;   0.0; 1.6;  0;12.54; 0.42; 0.49;21 34 54.67;+48 33 43.0
6550; ;   2.7;   6.6; 1.6;  0;13.63; 0.63; 0.17;21 34 53.50;+47 54 39.8
6551; ;  -3.9;   2.3; 2.3;  0;15.32; 0.49; 0.19;21 34 54.31;+48 22 04.6
6552; ;   0.8;   3.9; 1.5;  0;13.66; 0.61; 0.25;21 34 54.57;+48 28 18.8
6553; ;   3.5;   0.0; 2.5;  0;15.39; 0.67; 0.40;21 34 54.50;+48 24 50.4
6554; ;  -3.9;  -2.1; 1.6;  0;14.05; 0.52; 0.49;21 34 55.23;+48 39 34.3
6555; ;  -3.2;  -1.4; 2.5;  0;13.48; 1.23; 0.97;21 34 55.35;+48 39 02.9
6556; ;  -4.5;   1.9; 1.9;  0;14.57; 0.74; 0.22;21 34 55.37;+48 37 07.5
6557;*;  -4.5;  -3.3; 1.4;  0;10.23; 1.02; 0.89;21 34 54.69;+48 11 29.6
6558; ;   5.4;   3.9; 3.0;  0;15.26; 0.78; 0.33;21 34 55.24;+48 24 49.4
6559; ;   0.0;  -2.8; 2.1;  0;14.28; 0.81; 0.27;21 34 54.40;+47 59 10.7
6560; ;   1.1;   2.8; 1.6;  0;13.10; 0.33; 0.29;21 34 54.75;+48 06 38.2
6561; ;  -2.2;   0.4; 1.5;  0;13.06; 0.67; 0.47;21 34 55.53;+48 27 17.6
6562; ;   0.6;  -4.2; 1.6;  0;11.83; 1.35; 1.76;21 34 56.18;+48 42 36.2
6563; ;   1.8;   5.5; 2.4;  0;13.36; 0.64; 0.12;21 34 54.15;+47 36 25.1
6564; ;   4.6;   3.7; 2.6;  0;14.00; 1.45; 1.14;21 34 56.72;+48 55 30.0
6565; ;  66.9;  46.9; 1.5;  0;11.76; 0.92; 1.17;21 34 56.57;+48 31 56.9
6566; ;  -2.8;  -0.2; 1.9;  0;14.68; 0.46; 0.30;21 34 56.86;+48 55 41.9
6567; ;  13.9;   6.1; 2.9;  0;14.27; 0.77; 0.25;21 34 57.66;+49 10 58.7
6568; ;  -2.3;  -3.9; 2.6;  0;14.75; 0.67; 0.27;21 34 56.87;+48 49 24.4
6569; ;  -3.6;  -3.7; 2.8;  0;14.98; 0.86; 0.16;21 34 55.04;+47 46 35.7
6570; ; -16.4;  -6.4; 2.7;  0;10.84; 0.23; 0.09;21 34 57.80;+49 16 22.4
6571; ;   7.8;   3.6; 1.9;  0;14.44; 0.69; 0.40;21 34 57.20;+48 48 03.0
6572; ;   5.2;   0.1; 1.4;  0;11.68; 0.67; 0.50;21 34 56.34;+48 21 17.9
6573; ;   0.0;   1.3; 1.7;  0;11.43; 0.14;-0.01;21 34 57.70;+49 04 31.4
6574; ;   3.3;   1.1; 2.3;  0;15.10; 0.83; 0.30;21 34 56.42;+48 22 27.9
6575; ;  -0.1;   3.2; 1.6;  0;13.70; 0.10; 0.05;21 34 56.74;+48 32 53.5
6576; ;  -1.5;   1.7; 1.4;  0;11.23; 0.23;-0.31;21 34 56.75;+48 32 48.9
6577; ;  -3.0;  -1.1; 1.9;  0;14.59; 0.41; 0.25;21 34 57.85;+49 05 51.1
6578; ;  11.2;   6.2; 1.5;  0;13.62; 0.70; 0.17;21 34 56.23;+48 10 07.4
6579; ;  -0.9;  -0.4; 2.0;  0;13.96; 0.70; 0.12;21 34 55.31;+47 42 11.6
6580; ;   6.8;   2.6; 4.2;  0;15.07; 0.88; 0.62;21 34 56.56;+48 17 01.9
6581; ;  -6.4;  -2.4; 2.8;  0;13.28; 0.60;-0.03;21 34 55.12;+47 34 16.7
6582; ;  -8.9;   0.5; 2.5;  0;14.59; 0.91; 0.31;21 34 57.08;+48 31 51.8
6583; ;  10.2;   9.8; 2.3;  0;14.11; 1.13; 0.64;21 34 57.76;+48 47 35.0
6584; ;   5.1;   1.3; 1.8;  0;14.53; 0.71; 0.27;21 34 57.06;+48 25 48.7
6585; ;  -3.0;   0.2; 2.5;  0;15.32; 0.71; 0.43;21 34 56.84;+48 20 11.8
6586; ;  -3.2;  -2.1; 1.5;  0;13.56; 0.29; 0.44;21 34 57.05;+48 26 37.6
6587; ;   5.0;   1.0; 1.5;  0;11.99; 0.38; 0.09;21 34 56.30;+47 57 57.6
6588; ;   0.4;   4.5; 2.8;  0;15.22; 0.95; 0.32;21 34 58.11;+48 53 41.3
6589; ;  -1.7;  -3.9; 2.1;  0;13.90; 1.44; 1.16;21 34 56.70;+48 07 18.8
6590; ;   0.4;   1.2; 1.8;  0;13.57; 0.40; 0.33;21 34 58.43;+48 57 05.3
6591; ;  -3.6;   5.5; 2.6;  0;15.06; 0.93; 0.38;21 34 57.65;+48 33 47.3
6592; ; -18.5; -11.4; 1.6;  0;13.78; 0.70; 0.47;21 34 57.77;+48 39 14.5
6593; ;  -3.7;  -0.2; 1.6;  0;13.83; 0.45; 0.44;21 34 56.43;+47 52 25.6
6594; ;  -3.1;  -0.9; 1.6;  0;13.31; 1.43; 1.10;21 34 57.15;+48 14 58.3
6595; ;   2.4;   0.6; 3.2;  0;15.41; 0.80; 0.31;21 34 56.72;+47 59 32.7
6596; ;  -8.6;  -3.4; 1.6;  0;13.59; 0.66; 0.39;21 34 56.28;+47 46 09.9
6597; ;   0.3;   3.2; 2.2;  0;12.84; 0.48; 0.37;21 34 59.08;+49 09 07.9
6598; ;   9.8;   5.0; 1.8;  0;11.37; 1.86; 2.14;21 34 58.91;+49 01 10.1
6599; ;   3.3;  -0.6; 2.8;  0;14.78; 0.76; 0.17;21 34 56.48;+47 45 53.6
6600; ;   2.4;  -4.3; 2.4;  0;14.65; 0.53; 0.26;21 34 59.18;+49 07 21.1
6601; ;  -3.8;  -1.4; 1.5;  0;13.57; 0.70; 0.48;21 34 57.36;+48 11 57.8
6602; ;   2.3;  -7.3; 1.5;  0;12.98; 0.74; 0.23;21 34 57.80;+48 23 31.1
6603; ;   2.2;   1.6; 1.6;  0;12.89; 0.58; 0.53;21 34 57.32;+48 02 28.7
6604; ;   5.4;  -0.6; 3.0;  0;13.96; 1.32; 1.24;21 34 59.32;+48 59 36.4
6605; ;   1.0;   2.8; 3.1;  0;14.05; 0.44; 0.37;21 34 56.63;+47 34 18.3
6606; ;   4.9;   5.0; 2.7;  0;14.81; 0.87; 0.71;21 34 57.35;+47 55 22.2
6607; ;  -1.5;  -3.6; 3.1;  0;14.66; 0.66; 0.40;21 34 59.70;+49 06 56.9
6608; ;  -0.6;   1.3; 1.5;  0;13.97; 0.53; 0.45;21 34 57.93;+48 12 20.3
6609; ;  -3.9;  -1.0; 1.8;  0;14.42; 0.43; 0.14;21 34 57.28;+47 52 15.5
6610; ;  21.4;   9.9; 1.6;  0;11.68; 0.45; 0.04;21 34 59.45;+48 48 44.0
6611; ;   0.7;   0.0; 1.7;  0;13.92; 0.45; 0.42;21 34 59.85;+49 04 20.9
6612; ;  -2.5;  -2.2; 2.0;  0;14.49; 0.56; 0.15;21 34 59.90;+49 05 59.2
6613; ;  15.0;   6.3; 1.7;  0;12.99; 0.73; 0.47;21 34 59.55;+48 47 29.4
6614; ;   0.4; -10.8; 2.3;  0;14.49; 0.83; 0.36;21 34 59.55;+48 47 04.3
6615; ;  -0.9;  -4.3; 3.0;  0;14.33; 0.59; 0.30;21 34 57.34;+47 35 26.6
6616; ;  -2.6;  -2.8; 1.8;  0;14.63; 0.66; 0.40;21 34 59.02;+48 23 13.2
6617; ;  -3.0;  -3.6; 2.3;  0;14.88; 0.79; 0.27;21 34 59.16;+48 26 31.1
6618; ;  -1.4;  -3.3; 2.7;  0;14.18; 0.60; 0.32;21 35 00.73;+49 09 54.5
6619; ;  -7.8;  -3.6; 2.4;  0;14.24; 1.33; 1.10;21 34 59.48;+48 28 02.0
6620; ;  -3.5;   1.2; 2.0;  0;13.53; 1.56; 1.38;21 34 59.88;+48 28 11.8
6621; ;  -2.9;  -4.0; 1.6;  0;13.49; 0.58; 0.40;21 35 00.49;+48 46 10.5
6622; ;  -0.6;   2.8; 1.7;  0;14.47; 0.52; 0.39;21 34 59.32;+48 08 14.6
6623; ;  20.9;   8.5; 1.6;  0;13.60; 0.65; 0.27;21 34 59.16;+47 57 09.1
6624;*; -15.5;  -9.1; 1.5;  0;12.38; 0.69; 0.28;21 34 59.56;+48 15 53.0
6625; ;   6.1;   4.5; 2.9;  0;14.91; 0.60; 0.30;21 35 01.49;+49 06 37.5
6626; ;   0.5;   0.6; 1.6;  0;14.00; 0.15;-0.12;21 35 00.83;+48 48 35.2
6627; ;  -3.0;  -2.1; 1.8;  0;14.45; 0.37; 0.63;21 35 01.11;+48 52 02.5
6628; ;  -5.8;  -0.4; 2.7;  0;14.15; 1.54; 1.41;21 35 00.76;+48 41 10.5
6629; ;   4.5;  -0.1; 2.6;  0;13.88; 1.35; 1.28;21 35 01.71;+49 02 42.0
6630; ;  -2.4;   2.2; 2.6;  0;13.60; 1.70; 1.62;21 35 01.12;+48 44 22.0
6631; ;   0.0;  -3.6; 2.3;  0;14.07; 1.21; 0.99;21 35 00.47;+48 23 31.1
6632; ;  -1.5;   0.8; 3.0;  0;13.07; 1.24; 1.07;21 34 58.98;+47 35 25.9
6633; ;  -1.0;   1.4; 2.1;  0;14.66; 0.44; 0.50;21 34 59.81;+47 59 37.5
6634; ;  -1.5;  -4.9; 2.7;  0;15.29; 0.87; 0.32;21 35 01.22;+48 37 54.0
6635; ;  22.8;  15.0; 2.3;  0;14.47; 0.78; 0.21;21 35 00.13;+47 53 15.9
6636; ;  -3.5;   1.5; 3.0;  0;13.95; 0.80; 0.01;21 34 59.33;+47 35 09.5
6637; ;  18.6;  10.4; 1.9;  0;13.06; 0.93; 0.85;21 35 02.52;+49 04 52.1
6638; ;   0.3;  -2.3; 1.9;  0;14.87; 0.53; 0.46;21 35 01.30;+48 32 54.2
6639; ;   5.9;   6.5; 1.8;  0;13.37; 1.43; 1.43;21 35 02.32;+49 01 12.3
6640; ;  -2.4;   3.2; 2.8;  0;14.65; 0.94; 0.26;21 34 59.96;+47 45 06.8
6641; ;   6.5;   2.4; 2.7;  0;10.72; 0.28; 0.25;21 35 02.96;+49 10 56.3
6642; ;   4.8;   0.7; 1.8;  0;14.28; 0.53; 0.35;21 35 02.26;+48 46 20.7
6643; ;   3.2;  -2.9; 1.7;  0;14.50; 0.46; 0.45;21 35 01.84;+48 33 12.7
6644; ; -17.1;  11.5; 1.6;  0;13.20; 1.23; 1.30;21 35 01.93;+48 40 45.0
6645; ;   2.3;   0.4; 2.2;  0;13.38; 0.26; 0.40;21 35 03.06;+49 07 45.8
6646; ;   2.3;  -0.7; 1.8;  0;14.42; 0.55; 0.41;21 35 02.57;+48 53 06.4
6647; ;  -1.8;  -0.6; 2.6;  0;13.45; 1.59; 1.42;21 35 00.76;+47 52 26.3
6648; ;  -1.0;   0.9; 2.6;  0;14.37; 1.17; 0.59;21 35 01.46;+48 12 08.6
6649; ; -11.2;  -9.2; 1.7;  0;14.01; 0.64; 0.28;21 35 01.08;+48 01 24.7
6650; ;  -3.4;   8.5; 1.6;  0;13.19; 1.50; 1.31;21 35 01.50;+48 12 04.0
6651; ;   4.8;   4.0; 3.1;  0;15.03; 0.79; 0.08;21 35 03.44;+49 03 42.5
6652; ;  -1.7;  -0.9; 1.6;  0;13.04; 0.62; 0.46;21 35 02.54;+48 38 56.0
6653; ;   4.1;   2.9; 2.7;  0;14.09; 1.30; 1.03;21 35 03.79;+49 06 39.2
6654; ; -11.5;  -1.6; 2.8;  0;15.33; 0.38; 0.37;21 35 03.47;+48 59 23.1
6655; ;  10.2;  11.9; 1.9;  0;14.27; 0.70; 0.22;21 35 03.77;+49 00 26.2
6656; ;   0.3;   4.0; 2.6;  0;14.60; 0.80; 0.08;21 35 01.16;+47 44 49.3
6657; ;  -0.7;  -2.4; 3.0;  0;14.85; 0.81; 0.00;21 35 00.97;+47 36 04.3
6658; ;   4.0;   0.4; 3.1;  0;15.50; 0.76; 0.37;21 35 03.01;+48 33 16.3
6659; ;  -3.7;   1.4; 2.5;  0;15.28; 0.66; 0.68;21 35 02.49;+48 17 59.3
6660; ;   3.9;  -1.2; 3.5;  0;14.89; 0.82; 0.07;21 35 01.34;+47 40 11.5
6661; ;  -4.8;   4.9; 2.5;  0;15.18; 0.60; 0.52;21 35 02.05;+48 00 24.2
6662; ;  -0.9;  -0.1; 1.5;  0;13.75; 0.28; 0.26;21 35 03.88;+48 53 28.7
6663; ;   4.6;   0.4; 2.3;  0;15.44; 0.58; 0.01;21 35 02.90;+48 21 24.6
6664; ;  -3.9;   4.2; 1.9;  0;10.51; 0.25;-0.50;21 35 01.38;+47 37 35.3
6665; ;  -4.7;  -4.2; 2.4;  0;14.90; 0.75; 0.29;21 35 03.45;+48 32 18.1
6666; ;   2.5;   0.8; 2.3;  0;14.53; 0.82; 0.58;21 35 04.23;+48 48 59.3
6667; ;   8.1;   7.0; 2.8;  0;15.06; 0.88; 0.04;21 35 04.48;+48 52 45.3
6668; ;  -9.6;  12.1; 2.8;  0;14.89; 0.80; 0.31;21 35 03.50;+48 28 36.0
6669; ;  -0.3;   2.6; 1.8;  0;13.47; 1.28; 0.96;21 35 04.64;+48 59 00.0
6670; ;  -0.9;  -1.3; 1.7;  0;14.11; 0.43; 0.51;21 35 04.88;+49 02 16.3
6671; ;  15.0;  13.7; 2.4;  0;14.43; 0.95; 0.43;21 35 04.99;+49 00 26.0
6672; ;   7.3;   7.8; 2.0;  0;11.49; 0.36; 0.29;21 35 05.24;+49 07 36.3
6673; ;   9.9;   3.8; 2.3;  0;14.64; 0.95; 0.29;21 35 04.05;+48 31 21.5
6674; ;   6.0;  -3.6; 3.1;  0;13.42; 0.73; 0.24;21 35 02.06;+47 32 55.4
6675; ;   8.4;   0.4; 2.1;  0;14.37; 0.81; 0.43;21 35 04.28;+48 37 57.0
6676; ;   1.2;  -0.4; 1.7;  0;14.15; 0.64; 0.48;21 35 02.96;+48 00 18.6
6677; ;   1.6;  -0.6; 2.2;  0;12.84; 0.21; 0.17;21 35 05.29;+49 06 36.1
6678; ;   0.1;  -0.4; 1.6;  0;12.74; 0.47; 0.49;21 35 04.00;+48 28 25.7
6679; ;  30.0;  13.2; 1.6;  0;13.43; 0.67; 0.38;21 35 05.51;+49 03 58.6
6680; ;   4.9;  -2.2; 1.5;  0;12.00; 1.35; 1.07;21 35 03.82;+48 18 31.2
6681; ;   7.2;   4.2; 1.8;  0;14.27; 0.47; 0.39;21 35 05.28;+48 58 08.8
6682; ;  -6.2;   3.4; 3.2;  0;15.46; 0.81; 0.15;21 35 04.57;+48 38 22.2
6683; ;  -2.0;   0.7; 2.4;  0;14.57; 0.83; 0.28;21 35 03.87;+48 09 39.5
6684; ;  -0.8;   1.9; 1.7;  0;14.00; 1.05; 0.80;21 35 04.00;+48 12 55.9
6685; ;  -5.8;  -0.8; 2.5;  0;14.76; 0.70; 0.19;21 35 05.79;+49 05 12.9
6686; ;   4.0;   5.0; 2.2;  0;13.54; 1.76; 1.69;21 35 05.13;+48 41 31.4
6687; ;   1.9;   2.4; 2.9;  0;15.23; 0.89; 0.33;21 35 05.18;+48 42 50.1
6688; ;  -2.4;  -3.2; 3.1;  0;13.83; 0.70; 0.32;21 35 02.89;+47 33 27.5
6689; ;   7.0;  -1.0; 1.6;  0;11.45; 0.56; 0.06;21 35 03.56;+47 49 45.0
6690; ;  -0.1;   0.5; 1.7;  0;12.58; 0.36; 0.47;21 35 05.41;+48 44 42.6
6691; ;   9.8;  -3.9; 1.7;  0;14.17; 0.75; 0.24;21 35 04.17;+48 03 41.3
6692; ;  -8.0; -16.1; 2.0;  0;13.19; 0.56; 0.06;21 35 03.21;+47 39 46.3
6693; ;  -7.0;  -7.1; 2.2;  0;14.83; 0.69; 0.33;21 35 04.99;+48 28 53.6
6694; ;   4.3;  -0.6; 1.7;  0;13.57; 1.17; 0.83;21 35 04.30;+48 04 02.1
6695; ;  -2.2;  -4.9; 2.3;  0;14.76; 0.63; 0.49;21 35 06.08;+48 55 49.5
6696; ;  -1.4; -10.4; 1.6;  0;12.45; 0.91; 0.49;21 35 05.71;+48 32 12.5
6697; ;  27.4;  29.4; 2.2;  0;14.29; 0.92; 0.77;21 35 04.70;+47 54 55.0
6698; ;  -5.8;  -7.2; 1.7;  0;14.01; 0.76; 0.51;21 35 04.73;+48 03 04.3
6699; ;   3.7;   1.0; 1.6;  0;13.87; 0.54; 0.65;21 35 04.94;+48 05 23.2
6700; ;   2.2;   3.5; 2.4;  0;13.75; 0.54; 0.18;21 35 04.13;+47 39 35.8
6701; ;   0.4;  -1.9; 2.1;  0;14.44; 0.57; 0.40;21 35 06.79;+48 57 01.6
6702;*;  35.0;  26.3; 2.9;  0; 9.94; 0.40;-0.04;21 35 07.72;+49 12 54.9
6703; ;  -1.4;   0.8; 1.9;  0;13.26; 0.82; 0.36;21 35 07.26;+49 07 01.2
6704; ;   4.5;   7.0; 2.2;  0;14.14; 0.69; 0.34;21 35 07.22;+49 03 45.5
6705; ;  24.3;  -9.8; 2.1;  0;14.20; 0.98; 0.84;21 35 06.21;+48 29 46.1
6706; ;   0.0;  -2.8; 2.0;  0;11.25; 1.80; 2.00;21 35 04.24;+47 37 48.7
6707; ;   1.1;  -0.6; 1.8;  0;13.51; 0.37; 0.51;21 35 06.91;+48 53 46.5
6708; ;  -5.9; -12.4; 3.4;  3;14.59; 1.33; 1.10;21 35 07.63;+49 03 56.2
6709; ;  -5.0;   1.1; 2.4;  0;13.88; 1.62; 1.62;21 35 06.21;+48 22 03.4
6710; ;   3.9;   2.5; 1.7;  0;14.13; 0.72; 0.43;21 35 06.06;+48 14 29.8
6711; ;  -1.0;  -2.7; 3.1;  0;13.47; 1.16; 0.73;21 35 04.69;+47 33 15.2
6712; ;   1.7;  -2.9; 1.8;  0;14.28; 0.74; 0.36;21 35 07.14;+48 40 49.9
6713; ;  -0.6;   5.7; 2.7;  0;13.90; 1.27; 0.91;21 35 07.36;+48 47 24.3
6714; ;  -0.1;   4.2; 3.0;  0;13.41; 0.65; 0.28;21 35 04.97;+47 35 16.6
6715; ;   0.6;  -0.2; 2.2;  0;14.87; 0.59; 0.46;21 35 06.64;+48 17 04.3
6716; ;   2.9;  -0.4; 1.7;  0;11.57; 1.62; 1.99;21 35 07.82;+48 47 02.2
6717; ;   3.4;   3.7; 2.4;  0;12.81; 1.27; 1.06;21 35 05.45;+47 38 15.0
6718; ;  -6.7;  -5.3; 1.8;  0;14.41; 0.62; 0.37;21 35 06.09;+47 59 23.8
6719; ;   6.1;   0.9; 1.7;  0;12.89; 0.52; 0.15;21 35 06.04;+47 51 27.5
6720; ;  -0.3;  -1.0; 2.7;  0;13.31; 1.34; 1.02;21 35 05.54;+47 38 08.3
6721; ;   0.3;   0.3; 1.8;  0;14.22; 0.86; 0.40;21 35 06.86;+48 07 37.6
6722; ;   2.4;   2.4; 2.6;  0;14.60; 0.80; 0.20;21 35 06.07;+47 43 09.2
6723; ;  -2.9;  -2.5; 2.7;  0;14.39; 0.73; 0.39;21 35 08.65;+48 55 45.3
6724; ;   1.3;  -5.9; 2.3;  0;14.77; 0.33; 0.46;21 35 09.01;+49 03 54.7
6725; ;   2.1;  -2.5; 2.4;  0;14.80; 0.88; 0.34;21 35 07.52;+48 21 42.1
6726; ;  -3.0;  -2.9; 1.7;  0;14.18; 0.72; 0.26;21 35 06.87;+48 04 19.1
6727; ;  -4.4;   3.9; 2.5;  0;15.08; 0.64; 0.24;21 35 08.59;+48 53 17.7
6728; ;  -1.9;   6.5; 3.1;  0;15.31; 0.85; 0.30;21 35 07.10;+48 08 24.1
6729; ; -14.8;  -6.2; 2.3;  0;14.65; 0.94; 0.34;21 35 07.35;+48 18 57.3
6730; ;   4.2;   2.1; 1.6;  0;13.15; 1.36; 1.14;21 35 08.15;+48 36 36.2
6731; ;   7.6;   0.2; 1.9;  0;14.70; 0.72; 0.29;21 35 07.85;+48 26 55.3
6732; ;  -5.0;  -0.3; 3.0;  0;14.81; 0.68; 0.19;21 35 09.01;+48 58 51.3
6733; ;  -0.7;   1.7; 2.7;  0;14.63; 0.67; 0.04;21 35 06.45;+47 40 38.7
6734; ;  -0.1;   2.2; 2.3;  0;14.65; 0.88; 0.38;21 35 08.12;+48 28 18.9
6735; ;  -7.3;  -3.8; 2.7;  0;14.30; 0.71; 0.20;21 35 09.43;+49 04 43.2
6736; ;  -2.0;  -0.7; 3.3;  0;14.77; 1.10; 0.46;21 35 09.14;+48 51 06.8
6737; ;  -0.3;   2.6; 1.7;  0;13.39; 1.37; 1.12;21 35 08.72;+48 37 19.8
6738; ;  -0.4;   9.8; 2.6;  0;14.05; 1.33; 0.80;21 35 09.38;+48 55 34.2
6739; ;   4.8;   6.8; 1.9;  0;14.44; 0.85; 0.28;21 35 08.97;+48 40 35.1
6740; ;   0.2;  -0.5; 1.8;  0;12.13; 1.52; 1.91;21 35 09.68;+48 58 39.7
6741; ;   4.0;   3.0; 1.9;  0;12.98; 0.82; 0.24;21 35 10.20;+49 03 29.5
6742; ;   5.7;   3.7; 1.8;  0;14.08; 0.44; 0.39;21 35 10.48;+49 08 00.4
6743; ;   3.2;   7.6; 2.6;  0;14.87; 0.91; 0.10;21 35 09.29;+48 33 44.3
6744; ;  -8.2;  -1.4; 1.6;  0;13.56; 0.75; 0.43;21 35 08.00;+47 58 56.3
6745; ;   2.4;   0.3; 1.6;  0;12.77; 0.46; 0.52;21 35 08.26;+48 03 03.7
6746; ;   4.4;   5.7; 1.6;  0;12.92; 0.83; 0.40;21 35 08.19;+48 00 04.0
6747; ;  -2.9;  -1.9; 2.0;  0;13.81; 0.38; 0.42;21 35 10.62;+49 09 30.7
6748; ;   2.4;   0.9; 1.5;  0;13.45; 0.59; 0.50;21 35 09.39;+48 30 41.2
6749; ;  -0.7;   0.9; 2.8;  0;15.19; 0.68; 0.33;21 35 09.91;+48 44 35.7
6750; ;   0.7;   2.2; 3.1;  0;13.60; 1.99; 1.97;21 35 09.60;+48 34 17.1
6751; ;  -1.7;   0.6; 1.8;  0;13.90; 0.49; 0.37;21 35 10.84;+49 07 28.8
6752; ;   4.3;   3.4; 2.4;  0;15.09; 0.65; 0.40;21 35 09.58;+48 31 21.0
6753; ;   0.6;  -1.3; 2.5;  0;14.97; 0.83; 0.25;21 35 09.93;+48 41 09.9
6754; ;   1.7;   0.6; 2.8;  0;15.25; 0.63; 0.35;21 35 10.27;+48 47 20.2
6755; ;   4.4;  -0.5; 2.0;  0;13.73; 1.30; 0.82;21 35 10.02;+48 31 50.8
6756; ;  -0.5;   3.6; 2.1;  0;13.62; 1.29; 1.06;21 35 10.96;+48 53 52.4
6757; ;  14.8;  10.5; 1.6;  0;12.03; 0.48; 0.16;21 35 10.78;+48 42 31.1
6758; ;  -8.6; -18.2; 1.7; 14;12.17; 0.94; 1.02;21 35 09.05;+47 58 45.7
6759; ;  -1.1;  -1.4; 2.3;  0;14.80; 0.74; 0.31;21 35 10.16;+48 26 18.1
6760; ;  -1.7;  -4.6; 1.7;  0;13.57; 0.33; 0.35;21 35 08.81;+47 48 02.9
6761; ;   1.4; -13.2; 1.6;  0;11.00; 0.61; 0.13;21 35 11.22;+48 50 10.0
6762; ;  -2.3;  -0.7; 1.5;  0;13.82; 0.49; 0.42;21 35 10.25;+48 22 56.8
6763; ;   3.9;   6.9; 1.6;  0;12.42; 0.49; 0.51;21 35 09.46;+47 58 28.8
6764; ;  12.8;  12.2; 1.6;  0;13.57; 0.69; 0.26;21 35 09.56;+47 56 39.6
6765; ;  -3.8;   2.3; 2.3;  0;14.67; 0.71; 0.42;21 35 09.67;+47 59 47.8
6766; ;  -1.0;   3.2; 2.6;  0;14.61; 0.55; 0.42;21 35 09.48;+47 45 34.3
6767; ;  -3.0;   0.1; 2.0;  0;13.26; 1.41; 1.28;21 35 12.13;+48 57 37.6
6768; ;  -0.1;   3.4; 2.4;  0;14.86; 0.58; 0.52;21 35 12.20;+48 56 12.7
6769; ;  -0.2;   0.2; 1.9;  0;12.65; 0.55; 0.42;21 35 12.57;+49 03 23.6
6770; ;   5.5;  -6.2; 2.9;  0;14.46; 0.94; 0.34;21 35 09.79;+47 41 07.0
6771; ;   1.2;  -2.9; 3.1;  0;15.08; 0.66; 0.44;21 35 11.53;+48 28 51.1
6772; ;   0.6;   3.3; 1.8;  0;12.30; 1.33; 1.30;21 35 12.54;+48 56 31.5
6773; ;   3.6;   0.1; 2.5;  0;15.02; 0.54; 0.52;21 35 10.47;+47 58 23.1
6774; ; -10.4;  19.0; 2.7;  0;14.52; 1.00; 0.47;21 35 11.41;+48 26 20.3
6775; ;  -0.9;   1.5; 1.6;  0;13.75; 0.41; 0.40;21 35 10.57;+47 59 20.4
