#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:53:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:53:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/other/ASpR/58.1900/table3&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1057005801
#Name: J/other/ASpR/58.1900
#Title: NGC 225 CCD UBV photometry (Bilir+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/other/aspr/58.1900	    IVOID of underlying data collection
#INFO	creator=Bilir S.	    First author or institution
#INFO	cites=bibcode:2016AdSpR..58.1900B	    Article or Data origin sources
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/ASpR/58.1900	    Dataset landing page
#INFO	publication_date=2016-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_ASpR_58_1900_table3:
#Name: J/other/ASpR/58.1900/table3
#Title: Photometric and astrometric catalogue NGC 225
#Column	ID	(I4)	Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F5.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;pmRA;e_pmRA;pmDE;e_pmDE;Pmemb
 496;00 43 55.51;+61 40 37.73;16.983; 0.016; 1.151; 0.079; 1.489; 0.029; 66.8; 5.1;-23.2; 5.1;  0
 497;00 43 55.54;+61 37 03.64;17.076; 0.017; 1.289; 0.088; 1.350; 0.029;-17.9; 3.8; -9.2; 3.8;  2
 498;00 43 55.73;+61 42 56.85;15.240; 0.006; 0.752; 0.015; 0.978; 0.009;  9.9; 3.8; -2.4; 3.8;  3
 499;00 43 55.75;+61 45 37.00;19.115; 0.067;      ;      ; 1.688; 0.152;  8.0; 3.8; -0.6; 3.8;  8
 500;00 43 55.76;+61 55 04.41;18.733; 0.058;      ;      ; 2.516; 0.216;  2.1; 5.1;  3.0; 5.1; 63
 501;00 43 55.84;+61 47 31.34;18.276; 0.036; 1.140; 0.244; 1.617; 0.074; -2.6; 3.8; -3.3; 3.8; 77
 502;00 43 55.87;+61 44 56.97;15.669; 0.007; 0.980; 0.022; 1.098; 0.011;  5.9; 3.8; -4.5; 3.8; 13
 503;00 43 56.11;+61 53 42.42;14.796; 0.005; 0.464; 0.010; 0.912; 0.007;  1.9; 3.8;  3.2; 3.8; 45
 504;00 43 56.22;+61 43 47.33;19.063; 0.066;      ;      ; 1.857; 0.164;-15.5; 3.9; -9.4; 3.9;  5
 505;00 43 56.66;+61 56 58.37;17.841; 0.029; 0.896; 0.144; 1.451; 0.052; -1.9; 3.8; -4.7; 3.8; 61
 506;00 43 57.64;+61 46 02.45;15.484; 0.007; 0.369; 0.014; 0.859; 0.010;  6.4; 3.8; -4.6; 3.8; 11
 507;00 43 59.37;+61 43 35.95;19.599; 0.104;      ;      ; 2.332; 0.362; 11.8; 5.1; -1.1; 5.1; 10
 508;00 44 00.08;+61 42 06.90;15.640; 0.007; 0.907; 0.027; 1.495; 0.013; -0.1; 3.8; -1.3; 3.8; 70
 509;00 44 00.28;+61 54 45.35;15.358; 0.006; 0.475; 0.014; 1.018; 0.009; -5.3; 3.8; -0.1; 3.8; 99
 510;00 44 01.68;+61 46 50.11;17.105; 0.016; 0.964; 0.066; 1.324; 0.028; -5.9; 3.8; -9.9; 3.8; 20
 511;00 44 02.10;+61 55 00.36;16.401; 0.011; 1.686; 0.123; 2.100; 0.026;-10.5; 3.9;  6.3; 3.9; 36
 512;00 44 02.57;+61 38 42.89;18.701; 0.053; 0.230; 0.239; 1.735; 0.119;  2.1; 4.0; -4.2; 4.0; 40
 513;00 44 02.71;+61 49 21.73;17.843; 0.027; 1.349; 0.197; 1.491; 0.052;  0.2; 3.8;  1.3; 3.8; 68
 514;00 44 02.92;+61 42 14.17;15.818; 0.008; 0.886; 0.023; 1.075; 0.012;  4.0; 3.8; -7.4; 3.8; 13
 515;00 44 03.05;+61 38 17.00;17.992; 0.031;      ;      ; 1.646; 0.064;  5.7; 3.8; -1.6; 3.8; 18
 516;00 44 03.27;+61 43 56.31;18.908; 0.058;      ;      ; 2.101; 0.166; 10.8; 3.9; -2.7; 3.9;  3
 517;00 44 03.37;+61 37 35.98;18.638; 0.051; 0.480; 0.250; 1.639; 0.109; -2.0; 4.0; -5.3; 4.0; 58
 518;00 44 03.85;+61 42 46.08;17.734; 0.025; 0.914; 0.200; 2.092; 0.065; -1.4; 3.8; -1.9; 3.8; 79
 519;00 44 03.91;+61 49 08.04;10.670; 0.002; 0.120; 0.001; 0.270; 0.002;  4.5; 2.0; -3.6; 2.0;  0
 520;00 44 03.97;+61 54 02.11;17.765; 0.027; 0.394; 0.189; 1.417; 0.048; 16.5; 3.8; -5.8; 3.8;  0
 521;00 44 04.88;+61 54 56.02;16.331; 0.011; 1.102; 0.054; 1.614; 0.020;  5.6; 3.8; -4.6; 3.8; 14
 522;00 44 05.00;+61 40 46.22;17.881; 0.029;      ;      ; 2.373; 0.088; -0.5; 3.8;-12.4; 3.8;  7
 523;00 44 05.03;+61 51 39.11;18.893; 0.060;      ;      ; 2.128; 0.177;  0.2; 3.9; -3.3; 3.9; 58
 524;00 44 05.51;+61 38 34.08;14.894; 0.005; 0.773; 0.013; 1.050; 0.007;-22.1; 3.8;-10.5; 3.8;  0
 525;00 44 05.51;+61 40 08.50;18.814; 0.058;      ;      ; 2.267; 0.184; -2.7; 3.8; -4.0; 3.8; 72
 526;00 44 05.74;+61 47 49.06;18.017; 0.030;      ;      ; 1.664; 0.062; 59.1; 3.8;-13.0; 3.8;  0
 527;00 44 05.80;+61 51 22.42;18.095; 0.032; 0.558; 0.149; 1.611; 0.065;  2.0; 3.9; -4.1; 3.9; 40
 528;00 44 05.81;+61 37 06.08;16.870; 0.015; 1.652; 0.105; 1.441; 0.026; 25.4; 3.8;-14.2; 3.8;  0
 529;00 44 06.06;+61 49 25.04;19.196; 0.072;-0.082; 0.252; 1.579; 0.154; 33.2; 5.1; 12.6; 5.1;  0
 530;00 44 06.15;+61 43 29.61;19.108; 0.068;      ;      ; 1.556; 0.142; -6.1; 5.3; -1.1; 5.3; 97
 531;00 44 06.29;+61 41 25.15;17.151; 0.017; 1.473; 0.089; 1.220; 0.029; -1.2; 3.8;  1.7; 3.8; 80
 532;00 44 06.36;+61 55 56.91;16.947; 0.015; 0.707; 0.058; 1.395; 0.027; -7.2; 3.8; -6.9; 3.8; 42
 533;00 44 06.87;+61 39 54.51;18.132; 0.034; 0.967; 0.256; 1.872; 0.080;-14.8; 3.8; 31.5; 3.9;  0
 534;00 44 07.01;+61 39 50.87;17.681; 0.025; 0.711; 0.119; 1.601; 0.049;-14.8; 3.8; 31.5; 3.9;  0
 535;00 44 07.41;+61 53 16.34;19.277; 0.084;      ;      ; 1.547; 0.173;  0.3; 5.2;  2.0; 5.2; 79
 536;00 44 07.43;+61 51 10.68;18.281; 0.038; 0.209; 0.156; 1.738; 0.082; 13.7; 3.9; -5.3; 3.8;  0
 537;00 44 07.47;+61 42 52.04;13.639; 0.003; 0.414; 0.005; 0.842; 0.004; -9.6; 3.8; -5.1; 3.8; 45
 538;00 44 07.48;+61 54 40.49;17.159; 0.018; 0.996; 0.089; 1.536; 0.033; -1.0; 3.8;  0.2; 3.8; 81
 539;00 44 07.55;+61 56 31.32;18.254; 0.039; 0.787; 0.252; 1.763; 0.086; -1.2; 3.8; -0.5; 3.8; 82
 540;00 44 08.08;+61 55 10.67;17.412; 0.021; 0.929; 0.096; 1.423; 0.038; 12.7; 3.8; -2.7; 3.8;  1
 541;00 44 08.29;+61 49 32.19;18.945; 0.059;      ;      ; 1.566; 0.122; -3.1; 3.9;  0.7; 3.9; 96
 542;00 44 08.42;+61 54 32.71;15.392; 0.006; 0.845; 0.018; 1.102; 0.010;  3.0; 3.8; -1.9; 3.8; 38
 543;00 44 08.62;+61 49 18.84;17.803; 0.026; 1.152; 0.137; 1.393; 0.047;  0.5; 3.8;  0.5; 3.8; 66
 544;00 44 08.88;+61 52 43.45;19.134; 0.073;      ;      ; 2.002; 0.200;  7.0; 3.8; 42.1; 3.8;  0
 545;00 44 08.95;+61 52 40.04;18.792; 0.055;-1.426; 0.091; 1.191; 0.094;  7.0; 3.8; 42.1; 3.8;  0
 546;00 44 09.47;+61 47 07.03;15.897; 0.008; 1.119; 0.028; 1.136; 0.013;  0.5; 3.8;  3.9; 3.8; 52
 547;00 44 09.52;+61 42 55.02;17.150; 0.017; 1.434; 0.090; 1.267; 0.029;  0.6; 3.8;  0.0; 3.8; 65
 548;00 44 09.58;+61 38 12.10;17.705; 0.025; 0.352; 0.068; 1.096; 0.041; -0.6; 4.0;  4.0; 4.0; 65
 549;00 44 09.74;+61 48 03.83;18.598; 0.045;      ;      ; 1.733; 0.101; -0.2; 3.9;  2.0; 3.9; 71
 550;00 44 09.77;+61 46 34.26;18.876; 0.056;      ;      ; 1.860; 0.137;-26.6; 5.1; 23.8; 5.1;  0
 551;00 44 09.89;+61 45 47.92;18.055; 0.030; 1.627; 0.207; 1.225; 0.051;  0.7; 3.9; -3.6; 3.9; 52
 552;00 44 10.10;+61 37 29.23;17.994; 0.031; 0.793; 0.126; 1.233; 0.053;  0.3; 3.9; -3.4; 3.9; 57
 553;00 44 10.12;+61 50 28.06;19.428; 0.090;      ;      ; 1.550; 0.186;  0.0; 5.2; -1.1; 5.2; 82
 554;00 44 10.26;+61 46 31.57;18.907; 0.056;      ;      ; 1.513; 0.115;-26.6; 5.1; 23.8; 5.1;  0
 555;00 44 10.38;+61 47 25.95;18.815; 0.053;      ;      ; 1.582; 0.112; -2.6; 3.9; -0.5; 3.9; 93
 556;00 44 10.51;+61 40 11.89;17.109; 0.017; 0.826; 0.072; 1.430; 0.030;-19.7; 3.8;-19.5; 3.8;  0
 557;00 44 10.55;+61 50 53.48;19.017; 0.063;      ;      ; 1.382; 0.120; -3.0; 6.7; -8.6; 6.7; 67
 558;00 44 10.59;+61 50 58.96;17.458; 0.022;      ;      ; 2.516; 0.069;  0.1; 3.8;-11.1; 3.8; 10
 559;00 44 10.74;+61 42 19.26;12.950; 0.002; 0.042; 0.003; 0.571; 0.002; -9.5; 2.8;-16.0; 2.8; 51
 560;00 44 10.84;+61 51 15.98;18.549; 0.045; 1.389; 0.273; 1.151; 0.075; -1.9; 5.3;  4.6; 5.3; 81
 561;00 44 10.93;+61 41 56.62;17.258; 0.018; 1.150; 0.077; 1.161; 0.030; 12.7; 3.9; -7.4; 3.9;  1
 562;00 44 10.94;+61 51 08.32;17.733; 0.025; 0.375; 0.083; 1.316; 0.045;  4.4; 5.2; -2.2; 5.2; 48
 563;00 44 11.04;+61 50 39.99;16.999; 0.015; 0.401; 0.042; 1.145; 0.025; -0.4; 3.8; -3.1; 3.8; 64
 564;00 44 11.43;+61 51 05.72;16.766; 0.014; 1.206; 0.105; 1.895; 0.030;  4.4; 5.2; -2.2; 5.2; 48
 565;00 44 11.43;+61 49 54.46;18.429; 0.040;      ;      ; 1.631; 0.084; -0.4; 3.8; -1.2; 3.8; 73
 566;00 44 11.54;+61 43 52.70;18.819; 0.056;      ;      ; 2.251; 0.171;  7.1; 3.8; -4.5; 3.8;  8
 567;00 44 11.54;+61 45 32.21;12.958; 0.002; 0.323; 0.004; 0.830; 0.003; -7.8; 2.8; -4.4; 2.8; 42
 568;00 44 11.59;+61 44 52.54;15.239; 0.006; 0.428; 0.017; 1.486; 0.010; -3.0; 3.8; -1.0; 3.8; 94
 569;00 44 11.74;+61 40 16.69;12.640; 0.002; 0.157; 0.002; 0.547; 0.002; -8.8; 2.8; -3.5; 2.8; 89
 570;00 44 11.81;+61 53 46.22;17.298; 0.019; 0.413; 0.056; 1.236; 0.032;  1.6; 3.8;  1.0; 3.8; 54
 571;00 44 12.48;+61 38 43.50;18.492; 0.045; 0.394; 0.188; 1.559; 0.089; -8.4; 3.9; -0.7; 3.9; 81
 572;00 44 12.56;+61 47 48.62;17.961; 0.028; 0.599; 0.101; 1.290; 0.049;  3.3; 3.9; -0.6; 3.9; 39
 573;00 44 12.68;+61 41 14.88;17.631; 0.024; 0.765; 0.097; 1.412; 0.043;  0.7; 3.8; -2.0; 3.8; 58
 574;00 44 12.81;+61 51 01.88;11.420; 0.003; 0.210; 0.003; 0.290; 0.004; -5.9; 2.0;  1.3; 2.0; 86
 575;00 44 12.84;+61 52 40.58;18.378; 0.040; 1.150; 0.237; 1.385; 0.074;  0.8; 4.0;  7.6; 4.0; 31
 576;00 44 12.96;+61 40 03.00;18.658; 0.050; 0.262; 0.233; 1.747; 0.114;  4.5; 3.8; -4.9; 3.8; 18
 577;00 44 13.12;+61 52 59.98;17.372; 0.020; 1.097; 0.157; 1.961; 0.048;  7.7; 3.8; -0.3; 3.8;  9
 578;00 44 13.15;+61 39 49.13;16.934; 0.015; 0.778; 0.048; 1.114; 0.024;  1.5; 3.8; -4.4; 3.8; 40
 579;00 44 13.17;+61 49 46.11;18.657; 0.048; 0.419; 0.193; 1.503; 0.094; -0.3; 5.3;  0.5; 5.3; 86
 580;00 44 13.85;+61 49 27.56;14.278; 0.004; 0.328; 0.008; 1.048; 0.005; -2.5; 3.8;  4.7; 3.8; 68
 581;00 44 14.01;+61 55 40.20;19.085; 0.077;      ;      ; 2.034; 0.209; -3.2; 3.9;-14.8; 3.9;  4
 582;00 44 14.03;+61 53 28.72;18.557; 0.047; 0.426; 0.140; 1.107; 0.076; -4.7; 4.1; -3.6; 4.1; 83
 583;00 44 14.22;+61 51 10.79;18.486; 0.043;      ;      ; 1.671; 0.095;  2.8; 3.9;  3.1; 3.9; 39
 584;00 44 14.38;+61 37 19.39;15.788; 0.008; 0.402; 0.016; 0.869; 0.011; -2.0; 3.8;  0.9; 3.8; 89
 585;00 44 14.76;+61 40 21.90;13.973; 0.003; 0.148; 0.005; 0.727; 0.004; -4.6; 3.8; -0.5; 3.8; 99
 586;00 44 14.90;+61 52 23.13;15.538; 0.007; 0.816; 0.023; 1.372; 0.011;  5.8; 3.8;  0.3; 3.8; 18
 587;00 44 15.02;+61 56 33.14;16.824; 0.014; 0.766; 0.052; 1.293; 0.024;  3.4; 3.8; -1.2; 3.8; 35
 588;00 44 15.20;+61 53 58.59;14.911; 0.005; 0.626; 0.013; 1.207; 0.008;  4.4; 3.8; -1.3; 3.8; 27
 589;00 44 15.30;+61 38 28.16;17.921; 0.029; 0.864; 0.132; 1.338; 0.052; -1.8; 3.9; -0.5; 3.9; 88
 590;00 44 15.36;+61 54 43.61;18.469; 0.045; 1.367; 0.364; 1.560; 0.090;  6.5; 3.8; -8.8; 3.8;  4
 591;00 44 15.51;+61 48 40.00;17.676; 0.024; 1.073; 0.144; 1.651; 0.048;  1.4; 3.8;  0.3; 3.8; 56
 592;00 44 16.12;+61 40 58.53;14.213; 0.003; 0.318; 0.007; 0.854; 0.005;  4.2; 3.8; -0.1; 3.8; 30
 593;00 44 16.36;+61 47 18.38;16.986; 0.015; 0.814; 0.055; 1.249; 0.026; -0.1; 3.8; -0.8; 3.8; 71
 594;00 44 16.40;+61 44 19.81;19.236; 0.075;      ;      ; 1.565; 0.159; -1.5; 5.4;  2.3; 5.4; 89
 595;00 44 16.53;+61 50 44.01;12.324; 0.001; 0.108; 0.002; 0.436; 0.002; -6.8; 2.0; -0.3; 2.0; 77
 596;00 44 17.04;+61 53 25.80;18.444; 0.043; 0.361; 0.140; 1.276; 0.075;  0.1; 4.6; -2.6; 4.6; 72
 597;00 44 17.04;+61 50 09.52;18.950; 0.060;      ;      ; 1.520; 0.122;  0.0; 4.0; -4.4; 4.0; 55
 598;00 44 17.14;+61 40 23.95;18.303; 0.038;      ;      ; 1.821; 0.089; -0.5; 3.9; -4.2; 3.9; 58
 599;00 44 17.31;+61 53 01.17;18.891; 0.061;      ;      ; 2.192; 0.188;  0.7; 5.1;  1.8; 5.1; 76
 600;00 44 17.32;+61 55 07.76;17.489; 0.022; 1.877; 0.201; 1.406; 0.039; -6.7; 3.8; -0.7; 3.8; 93
 601;00 44 17.37;+61 52 29.27;19.147; 0.076;      ;      ; 2.021; 0.206;  0.6; 5.3;  1.5; 5.3; 79
 602;00 44 17.39;+61 51 52.14;15.296; 0.006; 0.836; 0.017; 1.107; 0.009; -1.7; 3.8;  3.9; 3.8; 71
 603;00 44 17.51;+61 49 52.14;18.888; 0.056;-2.556; 0.102; 1.454; 0.112;  4.8; 4.0;  4.5; 4.0; 22
 604;00 44 17.51;+61 40 58.75;18.417; 0.041; 0.711; 0.137; 1.061; 0.065; 10.3; 3.9;  0.5; 3.9;  4
 605;00 44 17.87;+61 50 02.97;17.546; 0.022; 1.691; 0.171; 1.442; 0.041;  4.1; 3.8;  1.5; 3.8; 30
 606;00 44 18.04;+61 38 44.51;18.535; 0.046; 1.014; 0.247; 1.347; 0.083; -1.6; 4.3;  0.8; 4.3; 89
 607;00 44 18.15;+61 40 50.49;17.704; 0.025; 0.461; 0.087; 1.381; 0.045;  3.5; 3.9; -0.4; 3.9; 37
 608;00 44 18.27;+61 56 17.74;19.063; 0.077;      ;      ; 1.300; 0.133; -2.3; 5.3; -2.6; 5.3; 90
 609;00 44 18.51;+61 55 19.75;13.171; 0.002; 0.328; 0.004; 0.759; 0.003; -4.3; 2.8; -3.2; 2.8; 72
 610;00 44 18.54;+61 42 48.39;18.785; 0.054;      ;      ; 2.084; 0.151;-13.1; 3.9;-10.2; 3.9;  7
 611;00 44 18.62;+61 56 52.00;18.461; 0.046;      ;      ; 1.808; 0.106; -5.9; 3.8; -2.0; 3.8; 91
 612;00 44 18.85;+61 38 40.21;19.048; 0.070;      ;      ; 1.757; 0.167; -0.7; 5.2; -4.3; 5.2; 74
 613;00 44 18.86;+61 37 43.25;17.740; 0.026; 0.726; 0.098; 1.248; 0.044;  1.3; 3.8; -4.1; 3.8; 43
 614;00 44 19.20;+61 46 15.87;19.219; 0.072;      ;      ; 1.088; 0.118;  2.1; 3.9;  0.5; 3.9; 51
 615;00 44 20.19;+61 45 40.80;18.695; 0.049;      ;      ; 1.701; 0.109; -4.9; 5.2; -6.1; 5.2; 72
 616;00 44 20.20;+61 49 35.94;17.170; 0.017; 1.544; 0.096; 1.212; 0.029; -6.7; 3.8;-12.0; 3.8; 10
 617;00 44 20.22;+61 42 57.33;17.777; 0.026; 0.861; 0.154; 1.756; 0.056; -1.5; 3.8; -5.4; 3.8; 52
 618;00 44 20.36;+61 56 21.47;18.223; 0.037; 0.737; 0.156; 1.265; 0.065;  1.8; 4.0;  2.4; 4.0; 52
 619;00 44 20.37;+61 56 53.31;17.263; 0.019; 1.386; 0.202; 2.046; 0.047;  3.5; 3.8; -1.2; 3.8; 34
 620;00 44 20.48;+61 56 39.72;18.440; 0.045; 0.854; 0.203; 1.270; 0.078;  0.0; 4.0; -3.3; 4.0; 62
 621;00 44 20.65;+61 56 31.45;18.698; 0.055; 0.909; 0.242; 1.168; 0.092; -1.2; 4.0; 12.2; 4.0; 11
 622;00 44 20.74;+61 49 45.21;13.116; 0.002; 0.120; 0.004; 0.720; 0.003; -5.5; 2.8; -2.6; 2.8; 79
 623;00 44 20.80;+61 42 03.87;18.205; 0.035; 0.439; 0.140; 1.517; 0.069; 13.7; 3.9;  9.8; 3.9;  0
 624;00 44 21.26;+61 54 26.41;17.511; 0.022; 0.390; 0.057; 1.023; 0.034;  5.0; 4.0; -3.1; 4.0; 23
 625;00 44 21.30;+61 49 12.40;16.690; 0.013; 1.482; 0.065; 1.249; 0.021;  6.4; 3.8;  1.1; 3.8; 15
 626;00 44 21.44;+61 46 13.49;18.853; 0.056;      ;      ; 1.648; 0.119;  5.2; 3.8; -2.3; 3.8; 20
 627;00 44 21.64;+61 55 19.52;18.161; 0.036; 0.787; 0.181; 1.504; 0.069;  4.0; 3.8; -3.2; 3.8; 26
 628;00 44 21.71;+61 45 06.92;15.349; 0.006; 0.705; 0.015; 0.989; 0.009; 18.7; 3.8;  0.2; 3.8;  0
 629;00 44 21.71;+61 39 01.93;18.616; 0.048; 0.187; 0.200; 1.624; 0.104; 33.9; 3.9; -8.3; 3.9;  0
 630;00 44 21.90;+61 40 57.00;16.787; 0.014; 0.723; 0.049; 1.327; 0.024;  0.1; 3.8; -2.0; 3.8; 65
 631;00 44 21.99;+61 46 33.75;18.417; 0.040;      ;      ; 1.633; 0.083;  2.8; 3.8; -5.6; 3.8; 25
 632;00 44 22.05;+61 49 24.73;17.788; 0.026; 1.285; 0.213; 1.790; 0.057;  9.2; 3.8;-16.4; 3.8;  0
 633;00 44 22.09;+61 54 53.46;17.042; 0.016; 0.328; 0.038; 0.978; 0.024;  0.8; 3.9;  1.5; 3.9; 63
 634;00 44 22.13;+61 38 02.36;17.504; 0.022; 0.649; 0.087; 1.417; 0.040; -3.0; 3.8; -7.3; 3.8; 40
 635;00 44 22.16;+61 54 10.21;18.585; 0.049;-0.013; 0.209; 1.838; 0.117;  1.9; 4.0;  2.1; 4.0; 52
 636;00 44 22.52;+61 47 52.21;18.006; 0.029; 0.538; 0.093; 1.159; 0.049;  3.6; 4.0;  0.0; 4.0; 38
 637;00 44 22.63;+61 42 23.42;19.285; 0.079;      ;      ; 1.539; 0.167;  0.9; 5.5; -1.4; 5.5; 78
 638;00 44 22.76;+61 39 30.11;17.838; 0.027; 0.799; 0.138; 1.530; 0.053; -0.3; 3.9; -3.5; 3.9; 62
 639;00 44 22.98;+61 53 10.35;18.542; 0.046; 0.763; 0.194; 1.268; 0.081;  0.6; 4.0; -3.0; 4.0; 58
 640;00 44 23.03;+61 54 51.63;18.764; 0.056; 0.066; 0.120; 0.931; 0.085;  9.1; 4.4;  2.4; 4.4; 11
 641;00 44 23.24;+61 56 00.49;18.296; 0.039; 0.357; 0.116; 1.164; 0.064;  1.5; 4.0; -2.9; 4.0; 51
 642;00 44 23.37;+61 37 54.58;14.196; 0.003; 0.419; 0.007; 0.894; 0.005;  1.6; 3.8; -0.2; 3.8; 54
 643;00 44 23.47;+61 56 23.40;17.114; 0.017; 0.448; 0.053; 1.264; 0.029;  3.3; 3.8; -4.6; 3.8; 26
 644;00 44 23.62;+61 52 34.03;17.895; 0.028; 0.496; 0.109; 1.441; 0.054;  4.6; 3.9;  0.9; 3.9; 28
 645;00 44 23.96;+61 50 35.40;18.416; 0.040; 0.905; 0.218; 1.472; 0.078;  3.4; 3.9; -1.4; 3.9; 37
 646;00 44 24.31;+61 51 04.68;19.157; 0.073;      ;      ; 1.540; 0.150; -0.7; 5.3;  3.7; 5.3; 80
 647;00 44 24.36;+61 56 01.02;18.614; 0.052; 0.306; 0.191; 1.439; 0.098; -3.3; 4.2; -2.7; 4.2; 88
 648;00 44 24.47;+61 51 49.59;19.141; 0.072;      ;      ; 1.926; 0.191;  3.5; 4.0;  4.3; 4.0; 31
 649;00 44 24.77;+61 41 31.65;15.516; 0.007; 0.528; 0.016; 0.956; 0.010; 11.3; 3.8;  5.7; 3.8;  1
 650;00 44 24.93;+61 49 58.36;17.332; 0.019; 1.344; 0.101; 1.318; 0.033; -0.3; 3.8; -3.3; 3.8; 61
 651;00 44 24.96;+61 55 03.71;18.845; 0.061; 0.623; 0.232; 1.224; 0.105; -5.5; 4.7;  1.7; 4.7; 97
 652;00 44 25.01;+61 46 58.22;19.198; 0.073; 0.110; 0.321; 1.742; 0.170;  2.3; 5.3;  1.3; 5.3; 67
 653;00 44 25.05;+61 54 43.95;15.742; 0.007; 0.371; 0.017; 1.022; 0.011;  5.9; 3.8;  1.3; 3.8; 17
 654;00 44 25.30;+61 39 37.04;18.705; 0.052; 1.092; 0.285; 1.289; 0.091; -1.6; 3.9;  3.3; 3.9; 76
 655;00 44 25.38;+61 40 30.85;18.402; 0.041; 0.721; 0.267; 1.859; 0.098; 12.7; 3.9;  2.1; 3.8;  1
 656;00 44 25.40;+61 46 00.96;19.321; 0.081;-0.242; 0.272; 1.661; 0.181;  5.6; 3.9;  1.5; 3.9; 21
 657;00 44 25.44;+61 41 14.49;18.440; 0.042; 1.092; 0.216; 1.247; 0.073;  7.1; 6.7;-22.6; 6.7;  4
 658;00 44 25.45;+61 42 26.66;17.002; 0.016; 1.608; 0.155; 1.923; 0.035; -0.5; 3.8; -5.8; 3.8; 44
 659;00 44 25.60;+61 41 10.35;16.294; 0.010; 0.421; 0.027; 1.192; 0.017; -1.1; 3.8;-15.3; 3.8;  2
 660;00 44 25.61;+61 45 21.48;18.098; 0.032; 1.167; 0.176; 1.348; 0.058;-10.0; 3.9;-11.7; 3.9;  8
 661;00 44 25.76;+61 42 06.36;19.055; 0.066;      ;      ; 1.445; 0.131;-16.6; 4.1;  0.4; 4.1; 15
 662;00 44 25.84;+61 52 53.72;17.597; 0.023; 0.794; 0.085; 1.196; 0.038;-12.0; 3.9;  0.3; 3.9; 46
 663;00 44 25.92;+61 45 24.01;19.158; 0.072;-0.179; 0.358; 2.091; 0.212;-10.0; 3.9;-11.7; 3.9;  8
 664;00 44 26.05;+61 47 42.58;18.833; 0.054;      ;      ; 1.220; 0.093;-24.1; 5.2;-14.0; 5.2;  1
 665;00 44 26.51;+61 47 43.83;19.732; 0.115;      ;      ; 2.160; 0.369; 10.2; 5.3;  2.8; 5.2; 16
 666;00 44 26.62;+61 42 07.10;17.823; 0.027; 1.268; 0.171; 1.468; 0.050; 13.2; 3.9;  1.2; 3.9;  1
 667;00 44 26.87;+61 49 25.80;18.887; 0.056; 0.022; 0.173; 1.383; 0.107; -2.0; 4.3;  0.1; 4.3; 92
 668;00 44 26.87;+61 53 19.63;17.751; 0.026; 0.437; 0.079; 1.209; 0.043; -5.0; 3.9;  1.5; 3.9; 97
