#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:33:09 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:33:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/466/3636/tablea1&-order=I&-out=More&-out=ID&-out=RAICRS&-out=DEICRS&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=m1&-out=e_m1&-out=c1&-out=e_c1&-out=beta&-out=e_beta&-out=Member&-out=IPHAS&-out=2MASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74663636
#Name: J/MNRAS/466/3636
#Title: The young open cluster NGC 7067 (Monguio+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/466/3636	    IVOID of underlying data collection
#INFO	creator=Monguio M.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.466.3636M	    Article or Data origin sources
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/466/3636	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74663636	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_MNRAS_466_3636_tablea1:
#Name: J/MNRAS/466/3636/tablea1
#Title: Coordinates and photometric indexes
#Column	More	(A1)	indicates parameters for B stars or physical parameters for hot stars	[ucd=meta.ref.url]
#Column	ID	(I4)	ID number	[ucd=meta.id;meta.main]
#Column	RAICRS	(A10)	Right ascension (ICRS, Epoch=J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(A9)	Declination (ICRS, Epoch=J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F5.2)	b-y color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F5.2)	Error in b-y color index	[ucd=stat.error;phot.color;em.opt.B]
#Column	m1	(F6.2)	m1 index	[ucd=phot.color]
#Column	e_m1	(F5.2)	Error in m1 index	[ucd=stat.error]
#Column	c1	(F6.2)	? c1 index	[ucd=phot.color]
#Column	e_c1	(F5.2)	? Error in c1 index	[ucd=stat.error]
#Column	beta	(F5.2)	? beta index	[ucd=phot.color]
#Column	e_beta	(F5.2)	? Error in beta	[ucd=stat.error]
#Column	Member	(I1)	[0/1] 1 for member	[ucd=meta.code.member]
#Column	IPHAS	(A19)	IPHAS ID (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS ID (HHMMSSss+DDMMSSs)	[ucd=meta.id]
More;ID;RAICRS;DEICRS;Vmag;e_Vmag;b-y;e_b-y;m1;e_m1;c1;e_c1;beta;e_beta;Member;IPHAS;2MASS
 ;1009;21 24 09.6;+47 57 37;16.99; 0.01; 0.74; 0.02;  0.02; 0.03;  0.54; 0.01; 2.64; 0.01;0;J212409.62+475737.1;21240963+4757371
*;1010;21 24 09.0;+47 58 45;16.81; 0.01; 0.55; 0.01; -0.04; 0.01;  0.95; 0.01; 2.85; 0.01;1;J212409.02+475844.6;21240903+4758444
*;1011;21 24 08.3;+48 04 02;17.18; 0.02; 0.88; 0.02; -0.26; 0.03;  0.75; 0.02; 2.75; 0.01;1;J212408.33+480402.3;21240834+4804023
 ;1012;21 24 08.0;+47 59 04;16.91; 0.01; 0.85; 0.01;  0.06; 0.01;  0.46; 0.02; 2.59; 0.01;0;J212407.95+475904.1;21240795+4759041
 ;1013;21 24 07.1;+48 02 38;18.20; 0.09; 0.10; 0.46;  1.02; 0.39;  0.41; 0.08; 2.66; 0.02;0;J212407.05+480238.1;21240709+4802386
*;1014;21 24 06.9;+47 59 21;17.35; 0.01; 0.61; 0.01; -0.05; 0.01;  1.08; 0.02; 2.91; 0.01;1;J212406.87+475921.0;21240687+4759208
 ;1015;21 24 05.6;+47 54 34;16.92; 0.01; 1.00; 0.01; -0.02; 0.02;  0.54; 0.03; 2.64; 0.01;0;J212405.54+475433.5;21240554+4754335
*;1016;21 24 04.8;+47 56 43;14.30; 0.01; 0.48; 0.01;  0.09; 0.01;  1.20; 0.01; 2.95; 0.01;0;J212404.81+475642.7;21240482+4756427
*;1017;21 24 04.5;+48 02 13;17.31; 0.01; 0.65; 0.01; -0.08; 0.02;  1.03; 0.02; 2.88; 0.01;1;J212404.53+480212.9;21240453+4802129
 ;1018;21 24 03.2;+47 56 42;15.62; 0.06; 1.22; 0.02;  0.20; 0.03;  0.52; 0.01; 2.60; 0.01;0;J212403.17+475642.4;21240318+4756424
 ;1019;21 24 02.2;+47 57 14;16.81; 0.01; 0.80; 0.01; -0.02; 0.02;  0.58; 0.02; 2.67; 0.01;0;J212402.18+475713.7;21240219+4757136
*;1020;21 24 02.2;+47 57 54;16.93; 0.02; 0.67; 0.00;  0.23; 0.44;  0.94; 0.12; 2.85; 0.03;0;J212402.16+475753.6;21240216+4757534
*;1021;21 24 00.7;+48 01 05;17.27; 0.01; 0.70; 0.01; -0.12; 0.02;  0.90; 0.01; 2.82; 0.01;1;J212400.71+480105.2;21240070+4801052
*;1022;21 23 59.8;+48 02 18;16.52; 0.01; 0.86; 0.01; -0.19; 0.01;  0.69; 0.02; 2.76; 0.01;1;J212359.81+480218.1;21235980+4802181
 ;1023;21 23 59.3;+47 57 19;16.87; 0.01; 0.80; 0.01;  0.01; 0.01;  0.59; 0.03; 2.68; 0.01;0;J212359.33+475718.5;21235933+4757186
*;1024;21 23 59.0;+47 59 23;16.53; 0.01; 0.75; 0.01;  0.01; 0.01;  0.79; 0.02; 2.75; 0.01;0;J212358.98+475922.8;21235898+4759227
 ;1025;21 23 56.1;+47 54 41;16.37; 0.01; 0.85; 0.01;  0.24; 0.01;  0.56; 0.04; 2.52; 0.01;0;J212356.09+475440.6;21235609+4754405
 ;1026;21 23 54.1;+47 58 24;16.85; 0.01; 0.85; 0.01; -0.02; 0.01;  0.59; 0.01; 2.66; 0.01;0;J212354.06+475823.9;21235406+4758239
 ;1027;21 23 52.6;+47 58 21;16.64; 0.01; 0.76; 0.01; -0.01; 0.01;  0.64; 0.01; 2.71; 0.01;0;J212352.61+475820.6;21235261+4758206
 ;1028;21 23 50.8;+47 58 25;17.25; 0.01; 0.75; 0.01;  0.01; 0.02;  0.67; 0.02; 2.71; 0.01;0;J212350.77+475825.4;21235077+4758254
*;1029;21 23 50.1;+47 57 43;16.70; 0.01; 0.78; 0.01;  0.03; 0.01;  1.03; 0.01; 2.81; 0.01;0;J212350.11+475743.4;21235010+4757433
*;1030;21 23 47.7;+48 03 27;16.97; 0.04; 1.00; 0.05; -0.20; 0.06;  0.66; 0.10; 2.66; 0.04;0;J212347.75+480326.7;21234774+4803266
*;1031;21 23 46.1;+48 04 40;17.16; 0.01; 0.98; 0.02; -0.19; 0.04;  0.64; 0.02; 2.67; 0.02;0;J212346.14+480439.5;21234614+4804396
*;1032;21 23 45.3;+47 56 22;16.52; 0.01; 0.78; 0.01;  0.03; 0.01;  0.79; 0.03; 2.73; 0.01;0;J212345.31+475621.9;21234530+4756218
*;1033;21 23 42.4;+47 56 21;17.13; 0.01; 0.66; 0.04; -0.03; 0.07;  1.13; 0.04; 2.96; 0.01;1;J212342.37+475621.4;21234236+4756214
 ;1034;21 23 41.2;+47 55 54;16.97; 0.04; 0.86; 0.04;  0.09; 0.07;  0.60; 0.14; 2.65; 0.08;0;J212341.21+475554.0;21234120+4755539
 ;1035;21 23 39.0;+47 56 03;16.86; 0.05; 0.97; 0.09; -0.09; 0.15;  0.70; 0.07; 2.67; 0.01;0;J212339.03+475603.0;21233902+4756030
 ;1036;21 23 34.3;+47 55 24;17.05; 0.02; 0.80; 0.01; -0.03; 0.02;  0.62; 0.02; 2.68; 0.01;0;J212334.32+475524.3;21233432+4755242
*;1037;21 23 33.8;+47 56 23;17.06; 0.02; 0.93; 0.05; -0.25; 0.09;  0.91; 0.05; 2.72; 0.02;1;J212333.78+475622.7;21233378+4756227
*;1038;21 23 33.1;+47 55 56;16.42; 0.02; 0.71; 0.00;  0.04; 0.03;  0.82; 0.16; 2.88; 0.14;1;J212333.12+475555.7;
*;1039;21 23 30.3;+48 01 29;16.66; 0.01; 0.87; 0.01; -0.12; 0.02;  0.72; 0.01; 2.71; 0.01;1;J212330.30+480128.9;21233029+4801289
*;1040;21 23 29.6;+48 01 34;17.19; 0.01; 0.80; 0.01; -0.18; 0.01;  0.91; 0.02; 2.83; 0.01;1;J212329.64+480134.4;21232962+4801342
 ;1041;21 23 28.7;+47 56 39;17.00; 0.01; 0.88; 0.01; -0.01; 0.01;  0.56; 0.02; 2.66; 0.01;0;J212328.70+475639.4;21232870+4756394
 ;1042;21 23 25.5;+47 54 27;17.14; 0.03; 0.85; 0.02; -0.06; 0.03;  0.65; 0.02; 2.67; 0.01;0;J212325.50+475426.8;21232551+4754267
 ;1043;21 23 25.0;+47 56 52;16.36; 0.04; 0.87; 0.03;  0.00; 0.04;  0.49; 0.01; 2.64; 0.00;0;J212324.99+475651.9;21232500+4756519
*;1044;21 23 24.9;+47 57 23;16.78; 0.03; 0.82; 0.04;  0.04; 0.04;  0.82; 0.03; 2.80; 0.01;0;J212324.87+475723.7;21232488+4757242
*;1045;21 23 22.4;+47 58 28;17.06; 0.01; 0.75; 0.01; -0.01; 0.02;  0.67; 0.01; 2.74; 0.01;0;J212322.40+475828.3;21232242+4758285
 ;1046;21 23 20.8;+47 58 15;17.47; 0.01; 0.77; 0.02; -0.04; 0.03;  0.58; 0.02; 2.68; 0.02;0;J212320.79+475814.9;21232080+4758150
 ;1047;21 23 19.7;+48 04 38;17.23; 0.01; 1.00; 0.01; -0.14; 0.02;  0.62; 0.02; 2.67; 0.01;0;J212319.72+480437.7;21231971+4804377
 ;1048;21 23 19.6;+47 58 56;16.91; 0.01; 0.89; 0.01; -0.06; 0.01;  0.47; 0.01; 2.60; 0.02;0;J212319.59+475856.1;21231957+4758561
*;1049;21 23 18.8;+47 54 48;16.22; 0.01; 0.84; 0.00; -0.03; 0.01;  1.07; 0.01; 2.80; 0.00;0;J212318.80+475448.0;21231879+4754480
 ;1050;21 23 18.6;+47 55 44;17.14; 0.02; 0.87; 0.01;  0.03; 0.08;  0.49; 0.14; 2.62; 0.01;0;J212318.60+475543.8;21231860+4755436
*;1051;21 23 14.4;+48 05 29;16.97; 0.01; 0.82; 0.01; -0.09; 0.02;  0.96; 0.02; 2.80; 0.02;1;J212314.40+480528.6;21231440+4805286
 ;1052;21 23 12.2;+47 55 08;16.76; 0.01; 0.83; 0.01; -0.02; 0.00;  0.47; 0.01; 2.61; 0.00;0;J212312.19+475507.6;21231219+4755074
*;1053;21 23 10.5;+47 58 15;17.24; 0.01; 0.85; 0.00; -0.08; 0.01;  0.67; 0.03; 2.71; 0.01;0;J212310.44+475814.8;21231044+4758148
 ;1054;21 23 07.3;+47 55 08;16.73; 0.02; 0.88; 0.01;  0.05; 0.01;  0.44; 0.01; 2.59; 0.01;0;J212307.21+475507.6;
 ;1055;21 23 06.7;+47 55 38;17.05; 0.04; 0.89; 0.02; -0.01; 0.04;  0.42; 0.04; 2.61; 0.02;0;J212306.59+475538.0;21230659+4755379
*;1056;21 23 04.3;+47 56 31;16.85; 0.35; 0.83; 0.07; -0.05; 0.42;  0.85; 0.47; 2.82; 0.49;1;J212304.28+475630.5;21230428+4756305
 ;1057;21 23 03.9;+47 55 27;17.16; 0.01; 0.81; 0.01; -0.04; 0.03;  0.58; 0.07; 2.67; 0.02;0;J212303.84+475527.2;21230384+4755272
 ;1058;21 23 03.8;+47 56 08;16.71; 0.03; 0.98; 0.05; -0.10; 0.07;  0.63; 0.05; 2.62; 0.01;0;J212303.73+475608.2;21230373+4756082
 ;1059;21 24 35.9;+48 00 49; 9.39; 0.01; 0.01; 0.03;  0.33; 0.04;      ;     ; 2.92; 0.03;0;                   ;21243581+4800488
 ;1060;21 24 23.0;+47 55 57;16.94; 0.03; 0.77; 0.01;  0.01; 0.03;  0.33; 0.13; 2.64; 0.01;0;J212422.99+475557.0;21242288+4755569
 ;1061;21 24 05.5;+47 57 04;16.83; 0.01; 0.94; 0.01;  0.09; 0.02;  0.57; 0.01; 2.63; 0.01;0;J212405.53+475703.8;21240554+4757038
 ;1062;21 24 04.3;+47 55 51;15.67; 0.01; 1.12; 0.02;  0.37; 0.11;  0.45; 0.14; 2.63; 0.04;0;J212404.28+475551.4;21240429+4755513
 ;1063;21 23 13.9;+48 02 59;16.35; 0.01; 1.15; 0.01; -0.08; 0.02;  0.68; 0.02; 2.60; 0.04;0;J212313.93+480259.2;21231392+4802591
 ;1064;21 23 09.1;+48 00 22;15.37; 0.00; 1.34; 0.01;  0.04; 0.02;  0.62; 0.02; 2.60; 0.01;0;J212309.12+480022.0;21230912+4800219
*;1065;21 23 06.7;+48 02 15;16.77; 0.01; 0.81; 0.01; -0.12; 0.01;  1.28; 0.02; 2.94; 0.02;0;J212306.75+480214.4;21230675+4802144
*;1066;21 25 15.9;+48 03 54;17.67; 0.01; 0.89; 0.01; -0.11; 0.03;  0.59; 0.03; 2.63; 0.01;0;J212515.84+480353.9;21251583+4803541
 ;1067;21 25 11.9;+48 03 22;16.62; 0.01; 1.11; 0.02;  0.11; 0.03;  0.57; 0.01; 2.60; 0.01;0;J212511.93+480321.9;21251191+4803218
 ;1068;21 25 09.9;+48 04 21;17.67; 0.01; 0.80; 0.01; -0.03; 0.02;  0.53; 0.03; 2.63; 0.02;0;J212509.89+480421.5;21250988+4804215
 ;1069;21 25 03.3;+48 00 25;15.54; 0.01; 1.45; 0.01;  0.30; 0.01;  0.51; 0.01; 2.59; 0.01;0;J212503.28+480025.0;21250328+4800251
 ;1070;21 25 02.6;+48 03 07;17.89; 0.01; 0.89; 0.00; -0.11; 0.02;  0.63; 0.03; 2.68; 0.01;0;J212502.64+480306.8;21250264+4803069
 ;1071;21 25 01.6;+48 04 26;17.50; 0.01; 0.80; 0.02;  0.03; 0.03;  0.53; 0.02; 2.62; 0.02;0;J212501.57+480426.1;21250157+4804260
*;1072;21 24 59.2;+48 03 02;17.69; 0.01; 0.87; 0.00; -0.11; 0.02;  0.60; 0.04; 2.66; 0.01;0;J212459.22+480302.1;21245921+4803021
 ;1073;21 24 57.9;+48 04 39;17.57; 0.01; 0.76; 0.02; -0.03; 0.03;  0.57; 0.03; 2.65; 0.01;0;J212457.89+480439.3;21245789+4804393
 ;1074;21 24 56.5;+48 02 43;17.67; 0.01; 0.90; 0.01; -0.05; 0.01;  0.62; 0.03; 2.65; 0.02;0;J212456.48+480242.7;21245647+4802427
*;1075;21 24 56.2;+48 01 52;17.69; 0.01; 0.80; 0.01; -0.04; 0.01;  1.25; 0.02; 2.94; 0.02;1;J212456.19+480151.6;21245621+4801516
*;1076;21 24 55.8;+48 03 44;17.58; 0.01; 0.99; 0.00; -0.10; 0.00;  0.72; 0.01; 2.66; 0.01;0;J212455.81+480344.4;21245580+4803444
 ;1077;21 24 55.0;+48 04 57;16.74; 0.01; 0.99; 0.01;  0.18; 0.02;  0.56; 0.01; 2.59; 0.00;0;J212454.95+480456.8;21245495+4804567
 ;1078;21 24 54.2;+48 01 42;17.37; 0.02; 0.78; 0.02; -0.05; 0.03;  0.65; 0.03; 2.71; 0.00;0;J212454.18+480142.0;21245418+4801421
 ;1079;21 24 53.0;+48 03 42;17.62; 0.01; 0.86; 0.01; -0.01; 0.03;  0.52; 0.02; 2.64; 0.01;0;J212452.99+480341.7;21245298+4803416
*;1080;21 24 52.4;+48 01 58;17.55; 0.01; 0.85; 0.00; -0.07; 0.01;  1.05; 0.03; 2.77; 0.01;1;J212452.36+480158.3;21245235+4801582
 ;1081;21 24 47.5;+48 03 33;17.52; 0.01; 0.82; 0.01; -0.06; 0.01;  0.55; 0.04; 2.66; 0.02;0;J212447.49+480332.6;21244749+4803325
 ;1082;21 24 46.8;+48 03 44;17.83; 0.01; 0.84; 0.01; -0.07; 0.01;  0.60; 0.01; 2.65; 0.01;0;J212446.81+480344.3;21244679+4803442
*;1083;21 24 46.1;+48 03 14;17.24; 0.01; 0.74; 0.01; -0.07; 0.01;  1.27; 0.07; 2.90; 0.01;1;J212446.11+480313.9;21244612+4803139
 ;1084;21 24 46.0;+48 01 14;17.32; 0.01; 0.98; 0.01;  0.06; 0.02;  0.53; 0.03; 2.62; 0.02;0;J212446.00+480113.9;21244600+4801139
 ;1085;21 24 45.6;+48 03 15;17.31; 0.00; 0.82; 0.01; -0.02; 0.02;  0.65; 0.06; 2.69; 0.01;0;J212445.55+480314.6;21244555+4803146
 ;1086;21 24 44.6;+48 02 54;17.34; 0.01; 0.96; 0.02; -0.02; 0.04;  0.55; 0.03; 2.67; 0.00;0;J212444.60+480254.2;21244460+4802542
 ;1087;21 24 43.9;+48 02 42;17.17; 0.00; 0.96; 0.01; -0.01; 0.01;  0.64; 0.04; 2.65; 0.01;0;J212443.88+480242.3;21244389+4802422
*;1088;21 24 42.4;+48 03 11;17.63; 0.01; 0.86; 0.01; -0.04; 0.02;  0.94; 0.03; 2.79; 0.01;0;J212442.42+480311.3;21244243+4803113
 ;1089;21 24 42.0;+48 01 39;17.51; 0.01; 0.91; 0.01; -0.06; 0.02;  0.58; 0.01; 2.66; 0.01;0;J212441.99+480138.9;21244200+4801388
*;1090;21 24 38.6;+47 57 07;17.38; 0.01; 0.90; 0.01; -0.08; 0.02;  1.08; 0.01; 2.88; 0.01;1;J212438.55+475706.7;21243856+4757068
*;1091;21 24 38.4;+48 00 56;17.23; 0.01; 0.81; 0.01;  0.08; 0.02;  0.92; 0.03; 2.85; 0.01;0;J212438.37+480055.3;21243837+4800553
 ;1092;21 24 35.2;+48 04 47;17.89; 0.02; 0.83; 0.02;  0.04; 0.03;  0.56; 0.02; 2.62; 0.02;0;J212435.16+480446.5;21243517+4804464
*;1093;21 24 34.0;+48 02 26;16.73; 0.01; 0.88; 0.02;  0.07; 0.03;  0.94; 0.03; 2.83; 0.00;0;J212434.02+480226.2;21243403+4802262
 ;1094;21 24 31.5;+47 57 54;17.62; 0.01; 0.90; 0.01; -0.02; 0.02;  0.55; 0.03; 2.63; 0.02;0;J212431.50+475754.0;21243150+4757540
 ;1095;21 24 31.5;+48 01 57;15.58; 0.01; 1.39; 0.00;  0.18; 0.01;  0.60; 0.05; 2.62; 0.00;0;J212431.44+480157.3;21243144+4801572
 ;1096;21 24 31.3;+48 00 59;17.53; 0.01; 0.94; 0.01; -0.10; 0.03;  0.75; 0.05; 2.67; 0.01;0;J212431.34+480058.6;21243135+4800585
 ;1097;21 24 30.9;+48 01 35;16.72; 0.01; 1.00; 0.01; -0.03; 0.03;  0.67; 0.02; 2.66; 0.02;0;J212430.93+480134.6;21243093+4801345
*;1098;21 24 27.6;+47 54 45;17.51; 0.01; 0.81; 0.02; -0.04; 0.03;  1.00; 0.03; 2.80; 0.00;0;J212427.59+475444.4;21242758+4754444
 ;1099;21 24 27.3;+48 00 27;18.10; 0.02; 0.79; 0.04; -0.01; 0.05;  0.55; 0.05; 2.68; 0.02;0;J212427.28+480026.6;21242731+4800265
 ;1100;21 24 26.9;+48 04 35;17.72; 0.01; 0.85; 0.01; -0.01; 0.01;  0.49; 0.02; 2.62; 0.01;0;J212426.85+480434.4;21242681+4804342
 ;1101;21 24 25.2;+48 01 47;17.64; 0.03; 0.91; 0.02;  0.02; 0.05;  0.53; 0.09; 2.57; 0.02;0;J212425.16+480147.2;
*;1102;21 24 24.6;+48 03 11;17.88; 0.03; 1.04; 0.12; -0.33; 0.24;  0.70; 0.18; 2.58; 0.04;0;J212424.62+480311.0;
 ;1103;21 24 22.0;+48 00 23;17.31; 0.01; 0.82; 0.02;  0.06; 0.04;  0.51; 0.01; 2.60; 0.02;0;J212421.98+480022.6;21242199+4800227
*;1104;21 24 19.4;+48 00 14;17.82; 0.00; 0.64; 0.02;  0.02; 0.03;  1.09; 0.02; 2.93; 0.00;1;J212419.35+480014.2;21241936+4800142
 ;1105;21 24 19.3;+47 58 49;18.00; 0.01; 0.79; 0.02;  0.03; 0.03;  0.50; 0.03; 2.61; 0.02;0;J212419.30+475849.1;21241929+4758492
 ;1106;21 24 18.4;+48 02 00;16.96; 0.01; 0.92; 0.01; -0.04; 0.01;  0.58; 0.02; 2.64; 0.01;0;J212418.38+480159.8;21241839+4801598
 ;1107;21 24 17.8;+48 01 15;17.55; 0.01; 0.78; 0.01; -0.01; 0.02;  0.48; 0.02; 2.63; 0.00;0;J212417.80+480115.1;21241781+4801150
 ;1108;21 24 16.4;+48 02 25;17.29; 0.02; 0.98; 0.02; -0.01; 0.04;  0.55; 0.02; 2.63; 0.02;0;J212416.41+480225.5;21241641+4802254
 ;1109;21 24 16.2;+48 03 34;17.25; 0.04; 1.03; 0.01; -0.08; 0.03;  0.74; 0.01; 2.71; 0.02;0;J212416.14+480333.7;21241614+4803337
*;1110;21 24 15.3;+48 00 57;17.81; 0.01; 0.74; 0.02; -0.02; 0.01;  0.65; 0.02; 2.72; 0.02;0;J212415.32+480056.7;21241531+4800565
*;1111;21 24 14.3;+48 03 57;16.50; 0.01; 0.94; 0.01; -0.10; 0.02;  0.78; 0.03; 2.73; 0.00;0;J212414.24+480357.0;21241425+4803569
 ;1112;21 24 13.9;+47 59 21;17.37; 0.01; 0.91; 0.01;  0.01; 0.01;  0.58; 0.01; 2.64; 0.01;0;J212413.91+475920.8;21241391+4759208
 ;1113;21 24 12.8;+48 02 41;17.56; 0.01; 0.96; 0.02; -0.07; 0.03;  0.52; 0.02; 2.65; 0.01;0;J212412.79+480241.2;21241280+4802412
 ;1114;21 24 10.5;+48 01 23;17.46; 0.01; 0.91; 0.01; -0.04; 0.02;  0.47; 0.01; 2.63; 0.01;0;J212410.46+480122.7;21241046+4801226
*;1115;21 24 08.3;+48 01 06;17.75; 0.43; 0.72; 0.07; -0.05; 0.03;  0.65; 0.60; 3.15; 0.42;0;J212408.33+480105.6;21240839+4801051
*;1116;21 24 06.9;+48 02 09;17.72; 0.01; 0.79; 0.01; -0.03; 0.01;  0.89; 0.02; 2.81; 0.02;0;J212406.90+480209.0;21240691+4802089
 ;1117;21 24 05.8;+48 00 30;17.47; 0.01; 0.77; 0.01; -0.04; 0.02;  0.62; 0.03; 2.70; 0.01;0;J212405.80+480029.6;21240580+4800295
 ;1118;21 24 04.8;+48 02 04;17.31; 0.01; 0.93; 0.01; -0.08; 0.03;  0.68; 0.01; 2.67; 0.02;0;J212404.81+480203.9;21240481+4802039
 ;1119;21 24 03.4;+48 00 37;17.45; 0.02; 0.80; 0.02; -0.01; 0.02;  0.51; 0.02; 2.64; 0.01;0;J212403.35+480036.9;21240334+4800369
*;1120;21 24 02.9;+48 00 53;17.54; 0.00; 0.71; 0.01; -0.01; 0.02;  1.16; 0.04; 2.95; 0.01;1;J212402.88+480053.2;21240289+4800531
 ;1121;21 23 57.8;+48 00 57;16.29; 0.01; 1.29; 0.01;  0.11; 0.02;  0.56; 0.03; 2.59; 0.01;0;J212357.79+480056.9;21235778+4800568
*;1122;21 23 56.9;+48 03 33;17.56; 0.01; 0.84; 0.03; -0.20; 0.04;  0.92; 0.02; 2.79; 0.03;0;J212356.89+480333.4;21235688+4803333
 ;1123;21 23 52.6;+47 59 58;17.28; 0.01; 0.91; 0.01; -0.09; 0.01;  0.81; 0.02; 2.71; 0.01;0;J212352.57+475958.1;21235255+4759581
 ;1124;21 23 50.7;+48 02 13;17.21; 0.01; 1.02; 0.01; -0.14; 0.02;  0.71; 0.03; 2.66; 0.01;0;J212350.71+480213.3;21235070+4802132
 ;1125;21 23 49.3;+48 02 19;17.50; 0.01; 1.04; 0.01; -0.07; 0.02;  0.62; 0.03; 2.61; 0.00;0;J212349.29+480219.0;21234928+4802190
*;1126;21 23 48.8;+48 02 12;17.39; 0.11; 1.17; 0.12; -0.32; 0.13;  0.64; 0.06; 2.60; 0.02;0;J212348.84+480211.8;21234877+4802126
 ;1127;21 23 46.6;+48 03 14;17.16; 0.02; 0.99; 0.01; -0.11; 0.13;  0.55; 0.15; 2.61; 0.10;0;J212346.61+480313.8;21234661+4803137
 ;1128;21 23 45.0;+48 00 24;17.20; 0.00; 0.96; 0.02; -0.07; 0.03;  0.59; 0.02; 2.68; 0.01;0;J212345.05+480023.6;21234505+4800236
 ;1129;21 23 45.0;+48 02 45;17.75; 0.02; 0.95; 0.03; -0.10; 0.06;  0.52; 0.07; 2.62; 0.01;0;J212345.05+480245.4;
*;1130;21 23 33.1;+48 02 06;17.66; 0.01; 0.93; 0.02; -0.12; 0.02;  0.71; 0.03; 2.71; 0.02;0;J212333.14+480205.6;21233313+4802055
*;1131;21 23 28.7;+48 01 44;17.65; 0.01; 0.98; 0.02; -0.14; 0.04;  0.60; 0.07; 2.55; 0.19;0;J212328.70+480144.2;21232868+4801441
*;1132;21 23 28.2;+48 03 00;17.04; 0.05; 0.77; 0.06;  0.03; 0.08;  0.91; 0.04; 2.79; 0.12;0;J212328.20+480300.2;21232819+4803001
*;1133;21 23 25.8;+48 01 58;17.00; 0.01; 0.81; 0.01; -0.09; 0.01;  1.12; 0.01; 2.88; 0.02;1;J212325.81+480158.2;21232580+4801582
*;1134;21 23 22.4;+48 00 41;16.85; 0.01; 0.96; 0.01; -0.19; 0.03;  1.24; 0.01; 2.82; 0.01;0;J212322.40+480040.6;21232240+4800406
*;1135;21 23 17.5;+48 00 11;16.79; 0.01; 1.01; 0.01;  0.01; 0.02;  1.15; 0.02; 2.88; 0.01;0;J212317.47+480011.1;21231747+4800110
 ;1136;21 23 16.5;+47 58 09;17.69; 0.01; 0.85; 0.00; -0.02; 0.01;  0.48; 0.03; 2.65; 0.01;0;J212316.52+475808.9;21231652+4758090
*;1137;21 23 13.6;+48 03 23;17.42; 0.00; 1.01; 0.01; -0.18; 0.02;  0.69; 0.02; 2.69; 0.02;0;J212313.64+480323.3;21231364+4803233
*;1138;21 23 10.1;+48 02 07;17.45; 0.02; 0.91; 0.01; -0.15; 0.02;  1.00; 0.01; 2.82; 0.00;1;J212310.15+480207.3;21231014+4802073
*;1139;21 23 09.8;+47 59 10;17.05; 0.00; 0.86; 0.01; -0.02; 0.01;  0.88; 0.02; 2.78; 0.02;0;J212309.78+475909.9;21230979+4759100
*;1140;21 23 06.8;+48 02 52;17.07; 0.01; 0.96; 0.01; -0.14; 0.02;  0.75; 0.02; 2.68; 0.02;0;J212306.80+480251.8;21230681+4802518
 ;1141;21 23 04.0;+48 01 34;17.27; 0.01; 1.17; 0.02; -0.15; 0.04;  0.56; 0.03; 2.65; 0.01;0;J212304.01+480133.7;21230401+4801337
*;1142;21 25 18.5;+48 04 19;14.72; 0.01; 0.44; 0.00;  0.00; 0.00;  1.18; 0.02; 2.94; 0.00;0;J212518.48+480418.9;21251847+4804189
 ;1143;21 25 17.5;+48 01 10;13.07; 0.01; 1.18; 0.01;  0.27; 0.01;  0.52; 0.02; 2.62; 0.00;0;J212517.49+480109.6;21251747+4801096
