#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:03:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AN/342/538/table2&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=Gmag&-out=e_Gmag&-out=BP-RP&-out=e_BP-RP&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113420538
#Name: J/AN/342/538
#Title: Frolov 1 and NGC 7510 CCD UBV photometry (Yontan+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/an/342/538	    IVOID of underlying data collection
#INFO	creator=Yontan T.	    First author or institution
#INFO	cites=bibcode:2021AN....342..538Y	    Article or Data origin sources
#INFO	editor=Astronomische Nachrichten	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/342/538	    Dataset landing page
#INFO	publication_date=2022-12-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_342_538_table2:
#Name: J/AN/342/538/table2
#Title: Photometric and astrometric catalogue NGC 7510
#Column	ID	(I4)	Sequential number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	Gmag	(F6.3)	? Gaia G magnitude	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F6.3)	? rms uncertainty on Gmag	[ucd=stat.error;phot.mag]
#Column	BP-RP	(F6.3)	? Gaia BP-RP colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_BP-RP	(F6.3)	? rms uncertainty on BP-RP	[ucd=stat.error]
#Column	pmRA	(F8.3)	? proper motion components (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.3)	? proper motion components (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F8.3)	? trigonometric parallax	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.3)	? rms uncertainty on trigonometric parallax	[ucd=stat.error;pos.parallax]
#Column	Pmemb	(F5.2)	[0/1]? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;Gmag;e_Gmag;BP-RP;e_BP-RP;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Pmemb
1441;23 11 35.32;+60 35 48.16;17.990; 0.022; 0.185; 0.048; 1.301; 0.028;17.515; 0.001; 1.755; 0.013;  -1.170; 0.146;  -2.021; 0.127;   0.116; 0.093; 0.00
1442;23 11 35.35;+60 31 54.82;17.813; 0.019; 0.886; 0.071; 1.487; 0.025;17.212; 0.001; 2.033; 0.011;  -3.649; 0.121;  -2.264; 0.102;   0.274; 0.075; 0.99
1443;23 11 35.44;+60 38 03.51;17.285; 0.013; 0.488; 0.027; 1.160; 0.016;16.844; 0.001; 1.637; 0.008;  -1.723; 0.098;  -1.057; 0.088;   0.129; 0.064; 0.00
1444;23 11 35.54;+60 40 11.20;16.379; 0.007; 0.627; 0.041; 1.049; 0.009;16.147; 0.001; 1.379; 0.006;  -0.938; 0.073;  -0.451; 0.063;   0.557; 0.045; 0.00
1445;23 11 35.57;+60 36 22.08;16.595; 0.008; 0.558; 0.014; 0.908; 0.010;16.303; 0.001; 1.340; 0.008;  -3.615; 0.073;  -2.252; 0.065;   0.283; 0.046; 0.97
1446;23 11 35.66;+60 42 35.74;18.396; 0.032;      ;      ; 1.328; 0.041;17.897; 0.002; 1.845; 0.032;  -3.121; 0.213;  -3.663; 0.196;   0.349; 0.131; 0.05
1447;23 11 35.66;+60 38 48.75;17.801; 0.019; 0.689; 0.059; 1.410; 0.025;17.213; 0.001; 1.884; 0.017;  -3.716; 0.121;  -2.023; 0.110;   0.333; 0.076; 0.99
1448;23 11 35.67;+60 41 10.38;18.423; 0.034;      ;      ; 2.153; 0.058;17.319; 0.001; 2.576; 0.030;  -1.759; 0.143;  -0.646; 0.128;   0.034; 0.089; 0.00
1449;23 11 35.69;+60 24 12.03;18.470; 0.041;      ;      ; 2.616; 0.153;16.785; 0.001; 3.018; 0.012;  -3.746; 0.136;  -1.715; 0.107;   0.009; 0.087; 0.67
1450;23 11 35.77;+60 26 09.45;16.068; 0.006; 0.543; 0.012; 1.149; 0.008;15.822; 0.001; 1.461; 0.004;  -3.322; 0.063;  -1.927; 0.050;   0.449; 0.039; 0.98
1451;23 11 35.85;+60 25 08.07;18.791; 0.049;      ;      ; 1.539; 0.065;18.004; 0.002; 2.051; 0.027;  -4.821; 0.240;  -2.632; 0.194;   0.514; 0.152; 0.34
1452;23 11 35.96;+60 38 14.78;19.211; 0.061;      ;      ; 1.316; 0.078;18.531; 0.002; 1.829; 0.036;  -8.409; 0.276;  -3.066; 0.253;   0.673; 0.173; 0.00
1453;23 11 35.98;+60 26 41.01;16.889; 0.010; 0.504; 0.019; 1.041; 0.012;16.649; 0.001; 1.388; 0.008;  -0.507; 0.097;  -0.469; 0.079;   0.391; 0.058; 0.00
1454;23 11 36.25;+60 37 30.31;18.635; 0.039;      ;      ; 1.487; 0.051;18.164; 0.002; 1.870; 0.019;  -4.956; 0.247;  -1.327; 0.222;   0.131; 0.150; 0.14
1455;23 11 36.45;+60 31 40.68;19.352; 0.070;      ;      ; 1.507; 0.093;18.665; 0.002; 1.796; 0.033;  -0.061; 0.293;   1.153; 0.252;   0.303; 0.186; 0.00
1456;23 11 36.50;+60 35 57.56;17.649; 0.018; 0.807; 0.101; 2.122; 0.029;16.503; 0.001; 2.627; 0.012;  -3.356; 0.145;  -1.525; 0.127;   0.135; 0.090; 0.40
1457;23 11 36.53;+60 40 09.49;15.845; 0.005; 0.798; 0.020; 1.024; 0.006;15.549; 0.001; 1.432; 0.004;  -4.465; 0.054;  -2.860; 0.047;   0.399; 0.033; 0.00
1458;23 11 36.53;+60 41 42.18;17.326; 0.014; 0.675; 0.029; 1.049; 0.016;17.080; 0.001; 1.411; 0.014;  -3.609; 0.114;  -2.028; 0.104;   0.282; 0.073; 0.99
1459;23 11 36.56;+60 44 01.27;17.273; 0.014; 0.845; 0.035; 1.218; 0.017;16.933; 0.001; 1.600; 0.009;   4.375; 0.101;   2.868; 0.096;   0.817; 0.065; 0.00
1460;23 11 36.57;+60 43 50.25;18.751; 0.047;      ;      ; 1.223; 0.058;18.076; 0.002; 1.798; 0.024;  -5.702; 0.197;  -1.629; 0.187;   0.397; 0.124; 0.00
1461;23 11 36.77;+60 40 14.74;18.587; 0.039;      ;      ; 1.641; 0.054;18.115; 0.002; 1.934; 0.027; -10.015; 0.219;  -6.841; 0.194;   0.783; 0.141; 0.00
1462;23 11 36.88;+60 37 49.71;16.416; 0.007; 1.244; 0.072; 1.238; 0.009;16.077; 0.001; 1.556; 0.004;   0.555; 0.068;   2.665; 0.061;   0.742; 0.046; 0.00
1463;23 11 36.92;+60 39 48.09;19.146; 0.062;      ;      ; 1.911; 0.153;17.558; 0.001; 2.693; 0.026;  -2.231; 0.175;  -0.507; 0.153;   0.232; 0.104; 0.00
1464;23 11 36.94;+60 32 20.76;16.346; 0.007; 0.598; 0.015; 1.143; 0.009;15.999; 0.001; 1.519; 0.005;   1.678; 0.063;  -3.027; 0.053;   0.531; 0.038; 0.00
1465;23 11 36.98;+60 42 58.22;18.129; 0.026; 0.605; 0.065; 1.123; 0.032;17.708; 0.001; 1.681; 0.017;  -2.902; 0.166;  -1.951; 0.157;  -0.044; 0.103; 0.58
1466;23 11 37.06;+60 41 59.92;17.966; 0.023;      ;      ; 1.354; 0.029;17.583; 0.001; 1.746; 0.016;  -0.365; 0.152;  -2.436; 0.151;   0.557; 0.098; 0.00
1467;23 11 37.18;+60 44 08.69;18.473; 0.039;      ;      ; 2.241; 0.069;17.469; 0.001; 2.513; 0.018;  -1.152; 0.153;  -0.846; 0.145;   0.077; 0.098; 0.00
1468;23 11 37.28;+60 37 29.94;18.128; 0.025; 0.734; 0.094; 1.550; 0.034;17.567; 0.001; 1.962; 0.021;  -1.660; 0.147;  -0.033; 0.133;  -0.005; 0.094; 0.00
1469;23 11 37.34;+60 31 05.31;13.602; 0.002; 0.252; 0.003; 0.828; 0.002;13.419; 0.000; 1.142; 0.001;   1.820; 0.090;  -4.744; 0.073;   1.388; 0.054; 0.00
1470;23 11 37.35;+60 36 29.73;16.011; 0.006; 1.696; 0.015; 2.082; 0.014;15.055; 0.000; 2.490; 0.004;  -3.948; 0.065;  -3.186; 0.057;   0.356; 0.040; 0.00
1471;23 11 37.35;+60 32 48.74;17.116; 0.011;-0.392; 0.010; 0.338; 0.012;17.130; 0.001; 0.469; 0.011;  -4.538; 0.124;  -0.093; 0.100;   0.758; 0.077; 0.00
1472;23 11 37.42;+60 37 53.12;18.920; 0.049;      ;      ; 1.209; 0.060;18.094; 0.002; 1.976; 0.024;  -1.271; 0.206;  -1.134; 0.184;   0.027; 0.133; 0.00
1473;23 11 37.47;+60 42 31.25;17.955; 0.023; 0.062; 0.040; 1.094; 0.027;17.552; 0.001; 1.603; 0.018;  -4.119; 0.158;  -2.581; 0.143;   0.214; 0.099; 0.89
1474;23 11 37.50;+60 38 10.85;17.690; 0.018;      ;      ; 2.266; 0.032;16.708; 0.001; 2.534; 0.013;  -1.923; 0.099;  -0.874; 0.091;   0.219; 0.066; 0.00
1475;23 11 37.52;+60 40 02.22;18.075; 0.024; 0.688; 0.075; 1.373; 0.031;17.514; 0.001; 1.887; 0.021;  -3.209; 0.148;  -0.492; 0.130;   0.225; 0.090; 0.00
1476;23 11 37.56;+60 26 30.43;15.337; 0.004; 0.404; 0.008; 1.054; 0.005;15.140; 0.000; 1.325; 0.003;   6.715; 0.044;  -3.339; 0.036;   1.119; 0.028; 0.00
1477;23 11 37.57;+60 25 57.40;18.694; 0.045;      ;      ; 1.926; 0.111;18.593; 0.003;      ;      ;   3.320; 0.646;  -9.342; 0.874;   0.671; 0.391; 0.00
1478;23 11 37.58;+60 44 17.47;17.830; 0.023;      ;      ; 2.211; 0.038;16.939; 0.001; 2.499; 0.015;  -1.787; 0.113;  -1.669; 0.108;  -0.015; 0.074; 0.00
1479;23 11 37.76;+60 33 08.60;15.806; 0.005; 0.757; 0.021; 1.118; 0.006;15.455; 0.000; 1.516; 0.004;  -3.106; 0.049;  -1.363; 0.041;   0.508; 0.032; 0.00
1480;23 11 38.28;+60 39 11.09;18.493; 0.034;      ;      ; 1.880; 0.052;17.926; 0.002; 1.965; 0.020;  -3.717; 0.190;   4.076; 0.169;   0.684; 0.116; 0.00
1481;23 11 38.44;+60 41 43.12;18.395; 0.032; 0.403; 0.069; 1.141; 0.039;17.820; 0.001; 1.752; 0.020;  -2.862; 0.182;  -2.127; 0.173;   0.197; 0.114; 0.59
1482;23 11 38.44;+60 33 11.25;18.850; 0.046;      ;      ; 1.716; 0.066;18.180; 0.002; 2.155; 0.034;  -3.738; 0.219;  -2.187; 0.196;   0.361; 0.141; 1.00
1483;23 11 38.52;+60 34 37.17;19.441; 0.076;      ;      ; 1.693; 0.170;18.421; 0.003; 2.122; 0.040;  -3.164; 0.279;  -2.519; 0.230;  -0.014; 0.169; 0.97
1484;23 11 38.53;+60 42 49.77;15.261; 0.004; 0.347; 0.007; 0.931; 0.004;15.534; 0.001; 1.319; 0.042;  -4.606; 0.061;  -1.887; 0.058;   0.299; 0.038; 0.00
1485;23 11 38.65;+60 34 46.23;15.594; 0.004; 0.121; 0.007; 0.933; 0.005;15.307; 0.000; 1.339; 0.003;  -3.768; 0.050;  -2.037; 0.042;   0.271; 0.030; 0.99
1486;23 11 38.94;+60 42 07.36;16.353; 0.007; 0.614; 0.015; 1.119; 0.009;16.130; 0.001; 1.442; 0.004;  -8.926; 0.069;  -3.029; 0.064;   0.761; 0.045; 0.00
1487;23 11 38.95;+60 29 23.74;18.534; 0.036;      ;      ; 1.438; 0.047;18.109; 0.002; 1.773; 0.025;   2.366; 0.224;  -1.678; 0.175;   0.343; 0.138; 0.00
1488;23 11 38.96;+60 39 17.08;18.293; 0.029;      ;      ; 1.768; 0.043;17.547; 0.001; 2.000; 0.020;   0.904; 0.145;   0.238; 0.132;   1.061; 0.091; 0.00
1489;23 11 39.05;+60 30 23.88;18.915; 0.049;      ;      ; 1.444; 0.064;17.942; 0.001; 2.329; 0.026;  -2.333; 0.204;  -2.066; 0.162;   0.488; 0.122; 0.15
1490;23 11 39.06;+60 37 25.29;16.706; 0.009; 0.565; 0.017; 1.067; 0.011;16.458; 0.001; 1.430; 0.009;  -2.325; 0.079;  -1.343; 0.071;   0.342; 0.051; 0.00
1491;23 11 39.24;+60 41 40.66;16.872; 0.010; 0.621; 0.025; 1.349; 0.013;16.443; 0.001; 1.726; 0.006;   3.844; 0.086;  -0.731; 0.077;   0.411; 0.055; 0.00
1492;23 11 39.25;+60 33 24.54;17.890; 0.021;      ;      ; 1.833; 0.031;17.077; 0.001; 2.225; 0.016;  22.878; 0.126;  -1.861; 0.107;   2.554; 0.079; 0.00
1493;23 11 39.47;+60 39 40.10;18.734; 0.047;      ;      ; 2.183; 0.078;18.498; 0.002; 1.847; 0.056;  -3.238; 0.279;  -1.451; 0.264;   0.033; 0.183; 0.74
1494;23 11 39.59;+60 31 11.14;15.599; 0.004; 0.621; 0.010; 1.058; 0.006;15.367; 0.000; 1.318; 0.004;   1.801; 0.049; -12.100; 0.040;   1.218; 0.029; 0.00
1495;23 11 39.72;+60 32 52.92;15.857; 0.005; 0.615; 0.011; 1.193; 0.007;15.519; 0.000; 1.540; 0.003;  -4.145; 0.061;  -1.891; 0.055;   0.479; 0.038; 0.42
1496;23 11 39.75;+60 40 25.43;12.459; 0.003; 1.169; 0.003; 1.517; 0.003;11.985; 0.000; 1.801; 0.002;   0.719; 0.046;   0.137; 0.042;   0.768; 0.029; 0.00
1497;23 11 39.91;+60 42 53.42;18.057; 0.025; 0.352; 0.058; 1.259; 0.031;17.632; 0.001; 1.669; 0.016;  -5.968; 0.168;  -4.694; 0.152;   0.254; 0.104; 0.00
1498;23 11 40.03;+60 24 05.31;18.583; 0.042; 0.165; 0.107; 1.393; 0.075;17.990; 0.001; 1.754; 0.024;   1.658; 0.204;  -1.634; 0.157;   0.364; 0.123; 0.00
1499;23 11 40.04;+60 30 12.50;19.080; 0.057;      ;      ; 1.370; 0.072;18.370; 0.002; 1.883; 0.023;   2.389; 0.248;  -0.276; 0.200;   0.847; 0.154; 0.00
1500;23 11 40.05;+60 43 47.29;18.662; 0.044;      ;      ; 1.481; 0.058;18.015; 0.002; 1.936; 0.019;  -3.280; 0.192;  -1.455; 0.181;   0.041; 0.121; 0.54
1501;23 11 40.15;+60 38 45.95;15.608; 0.005; 1.506; 0.017; 2.143; 0.007;14.567; 0.000; 2.582; 0.004;  -2.432; 0.057;  -1.394; 0.057;   0.240; 0.038; 0.00
1502;23 11 40.40;+60 29 02.91;18.071; 0.024; 0.533; 0.065; 1.325; 0.031;17.653; 0.001; 1.711; 0.023;   0.606; 0.176;  -0.964; 0.133;   0.594; 0.111; 0.00
1503;23 11 40.43;+60 39 56.37;17.825; 0.020; 0.727; 0.064; 1.370; 0.026;17.366; 0.002; 1.870; 0.017;  -3.471; 0.221;   0.112; 0.197;   0.475; 0.140; 0.00
1504;23 11 40.68;+60 40 06.08;14.252; 0.002; 0.445; 0.004; 0.981; 0.003;14.016; 0.001; 1.328; 0.003;   0.814; 0.183;  -0.480; 0.171;   0.777; 0.119; 0.00
1505;23 11 40.68;+60 29 52.03;17.079; 0.011; 0.917; 0.032; 1.259; 0.014;16.741; 0.001; 1.609; 0.008;  -1.542; 0.096;   0.081; 0.078;   0.731; 0.059; 0.00
1506;23 11 40.78;+60 24 42.68;18.367; 0.033; 0.295; 0.068; 1.204; 0.040;17.814; 0.001; 1.726; 0.016;  -2.795; 0.196;  -0.556; 0.144;   0.440; 0.120; 0.00
1507;23 11 40.94;+60 41 26.62;15.723; 0.005; 0.202; 0.007; 0.759; 0.006;15.616; 0.001; 1.112; 0.004;  -3.456; 0.059;  -2.510; 0.054;   0.346; 0.038; 0.98
1508;23 11 41.02;+60 26 53.30;16.462; 0.008; 1.095; 0.022; 1.203; 0.010;16.195; 0.001; 1.479; 0.008;  -6.450; 0.075;  -1.105; 0.063;   1.334; 0.048; 0.00
1509;23 11 41.02;+60 37 42.51;17.514; 0.016;      ;      ; 2.119; 0.026;16.544; 0.001; 2.477; 0.015;  -1.836; 0.152;  -0.370; 0.150;  -0.238; 0.091; 0.00
1510;23 11 41.10;+60 34 20.77;18.222; 0.028;      ;      ; 2.720; 0.064;16.688; 0.001; 3.119; 0.016;  -2.727; 0.110;  -1.228; 0.092;   0.002; 0.068; 0.00
1511;23 11 41.14;+60 33 36.64;17.555; 0.015; 1.258; 0.064; 1.286; 0.020;17.166; 0.001; 1.614; 0.015;  -5.797; 0.119;  -6.923; 0.100;   0.926; 0.076; 0.00
1512;23 11 41.15;+60 36 33.54;17.583; 0.016; 0.312; 0.034; 1.188; 0.020;17.226; 0.001; 1.556; 0.012;  -0.914; 0.126;  -0.966; 0.108;   0.388; 0.082; 0.00
1513;23 11 41.21;+60 24 30.07;18.018; 0.025; 1.134; 0.101; 1.344; 0.032;17.426; 0.002; 1.881; 0.022;   1.741; 0.142;  -3.834; 0.110;   0.626; 0.089; 0.00
1514;23 11 41.47;+60 38 43.90;17.685; 0.017; 0.714; 0.048; 1.228; 0.022;17.190; 0.001; 1.711; 0.011;   0.730; 0.135;  -0.721; 0.116;   0.504; 0.088; 0.00
1515;23 11 41.60;+60 37 38.25;17.117; 0.012; 0.688; 0.025; 1.069; 0.014;16.815; 0.001; 1.459; 0.007;  -3.817; 0.097;  -2.147; 0.087;   0.289; 0.062; 0.99
1516;23 11 41.62;+60 30 42.56;19.048; 0.055;      ;      ; 1.492; 0.072;18.085; 0.002; 2.180; 0.027;   0.583; 0.260; -12.748; 0.197;   0.229; 0.146; 0.00
1517;23 11 41.85;+60 41 25.89;18.157; 0.027; 0.293; 0.067; 1.397; 0.035;17.744; 0.001; 1.731; 0.020;  -2.291; 0.179;  -1.316; 0.162;   0.228; 0.115; 0.02
1518;23 11 41.88;+60 35 52.85;16.731; 0.009; 0.645; 0.017; 0.976; 0.011;16.437; 0.001; 1.432; 0.006;  -3.705; 0.076;  -2.307; 0.065;   0.303; 0.047; 0.97
1519;23 11 41.91;+60 29 51.29;17.496; 0.015; 0.944; 0.048; 1.295; 0.026;17.108; 0.001; 1.608; 0.021;  -3.289; 0.117;   1.616; 0.100;   0.826; 0.072; 0.00
1520;23 11 41.93;+60 35 21.63;15.922; 0.006; 2.489; 0.037; 1.987; 0.009;15.071; 0.000; 2.371; 0.007;  -5.692; 0.047;  -2.182; 0.040;   0.310; 0.029; 0.00
1521;23 11 42.06;+60 29 38.59;18.707; 0.041;      ;      ; 1.511; 0.056;18.208; 0.002; 1.848; 0.026;   2.079; 0.239; -11.959; 0.181;   0.396; 0.149; 0.00
1522;23 11 42.07;+60 25 17.73;12.974; 0.004; 0.353; 0.002; 0.840; 0.004;12.843; 0.000; 1.100; 0.001;  -9.990; 0.044; -10.029; 0.036;   1.450; 0.026; 0.00
1523;23 11 42.27;+60 38 47.42;19.700; 0.103;      ;      ; 2.705; 0.448;      ;      ;      ;      ;        ;      ;        ;      ;        ;      ; 0.00
1524;23 11 42.32;+60 30 33.05;18.786; 0.043;      ;      ; 1.205; 0.053;18.147; 0.002; 1.791; 0.023;  -5.449; 0.230;  -2.329; 0.188;   0.160; 0.139; 0.03
1525;23 11 42.48;+60 39 59.44;16.655; 0.009; 0.577; 0.019; 1.208; 0.011;16.403; 0.001; 1.494; 0.007;  -4.646; 0.080;  -2.405; 0.077;   0.657; 0.052; 0.00
1526;23 11 42.64;+60 41 13.25;14.441; 0.002; 0.706; 0.005; 1.042; 0.003;14.276; 0.000; 1.248; 0.002; -32.456; 0.033; -15.981; 0.031;   2.085; 0.022; 0.00
1527;23 11 43.06;+60 29 56.55;16.464; 0.008; 0.525; 0.020; 1.508; 0.010;15.741; 0.001; 2.139; 0.005;  -2.377; 0.060;  -0.967; 0.049;   0.169; 0.037; 0.00
1528;23 11 43.19;+60 41 03.31;18.640; 0.041;-0.677; 0.064; 1.465; 0.054;18.075; 0.002; 1.831; 0.029;  -4.938; 0.222;  -1.562; 0.199;   0.528; 0.135; 0.15
1529;23 11 43.20;+60 31 13.18;19.212; 0.062;      ;      ; 1.130; 0.074;18.535; 0.002; 1.704; 0.036;  -4.099; 0.296;  -3.366; 0.256;   0.122; 0.189; 0.39
1530;23 11 43.23;+60 37 45.35;17.455; 0.015;      ;      ; 1.372; 0.027;17.297; 0.008; 1.644; 0.012;        ;      ;        ;      ;        ;      ; 0.00
1531;23 11 43.33;+60 37 52.78;17.574; 0.016;      ;      ; 1.086; 0.025;17.297; 0.001; 1.436; 0.015;  -3.968; 0.132;  -2.312; 0.130;   0.261; 0.083; 1.00
1532;23 11 43.33;+60 31 43.09;16.816; 0.009; 1.014; 0.028; 1.327; 0.012;16.561; 0.001; 1.687; 0.019;  -5.359; 0.097;  -1.681; 0.078;   0.979; 0.060; 0.00
1533;23 11 43.33;+60 38 16.52;15.511; 0.004; 0.212; 0.008; 1.043; 0.005;15.198; 0.001; 1.481; 0.002;  -2.361; 0.047;  -1.544; 0.043;   0.259; 0.030; 0.00
1534;23 11 43.36;+60 29 20.35;16.779; 0.009; 0.581; 0.020; 1.180; 0.012;16.456; 0.001; 1.560; 0.007;  -2.433; 0.083;  -2.206; 0.066;   0.232; 0.053; 0.00
1535;23 11 43.50;+60 33 11.44;18.500; 0.034;      ;      ; 1.555; 0.047;17.950; 0.001; 1.952; 0.021;  -3.495; 0.199;  -2.061; 0.157;   0.362; 0.123; 0.99
1536;23 11 43.54;+60 24 26.68;17.700; 0.019; 0.651; 0.058; 1.441; 0.024;17.578; 0.001; 1.839; 0.034;  -5.962; 0.159;  -2.322; 0.122;   0.229; 0.104; 0.00
1537;23 11 43.60;+60 25 35.64;18.321; 0.031; 0.617; 0.074; 1.095; 0.037;17.855; 0.003; 1.700; 0.021;  -3.604; 0.564;  -4.976; 0.459;  -0.168; 0.350; 0.10
1538;23 11 43.69;+60 29 50.83;19.161; 0.061;      ;      ; 1.267; 0.076;18.364; 0.002; 1.819; 0.033;  -1.204; 0.258;  -4.107; 0.208;   0.299; 0.160; 0.00
1539;23 11 43.76;+60 36 51.02;18.049; 0.023; 0.712; 0.073; 1.340; 0.030;17.395; 0.001; 1.956; 0.016;  -3.401; 0.139;  -0.698; 0.126;   0.111; 0.091; 0.00
1540;23 11 43.76;+60 37 04.65;15.463; 0.004; 0.479; 0.007; 0.832; 0.005;15.299; 0.000; 1.152; 0.004;  -4.530; 0.045;  -2.237; 0.042;   0.401; 0.030; 0.00
1541;23 11 43.83;+60 43 55.80;17.817; 0.021; 0.753; 0.065; 1.314; 0.027;17.460; 0.001; 1.688; 0.013;  -4.474; 0.159;  -2.243; 0.153;   0.727; 0.102; 0.43
1542;23 11 43.91;+60 39 28.11;16.435; 0.007; 0.782; 0.044; 1.099; 0.009;16.274; 0.004; 1.467; 0.005;  -5.807; 0.592;  -0.133; 0.514;   2.151; 0.398; 0.17
1543;23 11 43.96;+60 36 03.02;15.781; 0.005; 1.639; 0.022; 2.172; 0.008;14.646; 0.000; 2.639; 0.006;  -2.273; 0.061;  -1.049; 0.053;   0.227; 0.038; 0.00
1544;23 11 44.07;+60 39 34.88;15.591; 0.005;      ;      ; 2.644; 0.009;13.713; 0.001; 3.490; 0.009;  -1.462; 0.073;  -0.854; 0.069;   0.189; 0.050; 0.00
1545;23 11 44.15;+60 35 46.98;16.855; 0.010; 0.490; 0.019; 1.131; 0.012;16.555; 0.001; 1.486; 0.007;  -3.397; 0.082;  -3.116; 0.070;   0.369; 0.053; 0.00
1546;23 11 44.23;+60 37 25.35;17.806; 0.019; 0.513; 0.050; 1.271; 0.024;17.438; 0.001; 1.653; 0.022;  -3.710; 0.143;  -1.938; 0.138;   0.345; 0.091; 0.99
1547;23 11 44.38;+60 40 58.90;19.397; 0.080;-0.696; 0.123; 1.529; 0.105;18.430; 0.002; 1.896; 0.043;   3.800; 0.257;  -5.504; 0.241;   0.563; 0.161; 0.00
1548;23 11 44.43;+60 30 52.89;17.433; 0.014; 0.562; 0.032; 1.232; 0.018;17.027; 0.001; 1.628; 0.009;  -1.469; 0.128;  -5.020; 0.105;   0.599; 0.072; 0.00
1549;23 11 44.53;+60 40 00.09;16.975; 0.011; 0.639; 0.025; 1.215; 0.014;16.594; 0.001; 1.612; 0.006;  -2.189; 0.089;  -3.248; 0.082;   0.525; 0.057; 0.00
1550;23 11 44.69;+60 42 42.20;17.996; 0.025;      ;      ; 2.026; 0.039;17.287; 0.001; 2.280; 0.021;  -6.504; 0.140;   0.223; 0.125;   0.482; 0.089; 0.00
1551;23 11 44.71;+60 24 46.36;17.916; 0.023; 0.245; 0.052; 1.345; 0.029;17.506; 0.001; 1.746; 0.014;  -2.611; 0.164;  -1.994; 0.126;   0.355; 0.103; 0.21
1552;23 11 44.76;+60 29 15.45;13.328; 0.005; 0.237; 0.002; 0.696; 0.005;13.293; 0.000; 0.830; 0.001;  -4.512; 0.027;  -2.429; 0.022;   1.006; 0.017; 0.00
1553;23 11 44.79;+60 41 19.50;18.155; 0.027;      ;      ; 1.368; 0.034;17.624; 0.001; 1.892; 0.025;  -1.719; 0.162;  -1.330; 0.150;   0.699; 0.100; 0.00
1554;23 11 44.80;+60 37 09.45;17.703; 0.018; 0.527; 0.053; 1.486; 0.023;17.188; 0.001; 1.851; 0.016;  -0.815; 0.121;   0.902; 0.113;   0.423; 0.081; 0.00
1555;23 11 44.80;+60 38 26.81;18.345; 0.030;      ;      ; 1.406; 0.039;17.855; 0.002; 1.795; 0.032;  -3.148; 0.181;  -2.219; 0.182;   0.457; 0.129; 0.92
1556;23 11 44.81;+60 30 27.06;17.043; 0.011; 0.612; 0.026; 1.290; 0.014;16.539; 0.001; 1.825; 0.008;  -2.073; 0.089;  -1.034; 0.079;   0.235; 0.053; 0.00
